name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Cap/hat	0	0	1	1	3	5	0	0	0	0	250	0	1	0	64	3016	cap	cap			cap	cap	cap	xap	uap	0	0	2	2	1	4	1	flpcap	invcap	invcapu	invcapu							0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1			1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xap	uap	0	0	1
Skull Cap	0	0	1	1	8	11	0	0	16	0	250	0	5	5	441	5551	skp	skp			skp	skp	skp	xkp	ukp	0	0	2	2	1	4	1	flpskp	invskp									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			8	8	0	xkp	ukp	0	0	1
Helm	0	0	1	1	15	18	0	0	24	0	250	0	11	11	1558	12284	hlm	hlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255			1	1	1					255					255					255					255					255	1	1	1	1	1					255				1	1					255					255					255					255					255			8	8	0	xlm	ulm	0	0	1
Full Helm	0	0	1	1	23	26	0	0	40	0	250	0	16	16	3095	21606	fhl	fhl			fhl	hlm	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255	1	1	1	1	1					255					255					255					255					255					255	1	1	1	1	1	1	1		1	1					255					255					255					255					255			8	8	0	xhl	uhl	0	0	1
Great Helm	0	0	1	1	30	35	0	0	60	0	250	0	23	23	6177	49517	ghm	ghm			ghm	hlm	ghm	xhm	uhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255	1	1	1	1	1					255					255					255					255	1	1	1	1	1			1	1	20					255					255					255					255			8	8	0	xhm	uhm	0	0	1
Crown	0	0	1	1	35	45	0	0	64	0	250	0	28	28	9345	77501	crn	crn			crn	hlm	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255					255					255	1	1	1	1	20	1	1	1	1	1	1	1	1	1	20					255					255			8	8	0	xrn	urn	0	0	1
Mask	0	0	1	1	25	30	0	0	24	0	250	0	18	18	2857	25570	msk	msk			msk	hlm	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					255					255					255					255					255					255					255					255					255					255	1	1	1	1	1					255					255	1	1	1	1	1					255					255					255			8	8	0	xsk	usk	0	0	1
Quilted Armor	0	0	1	1	8	11	0	0	12	0	250	0	1	0	140	2035	qui	qui			qlt	qlt	qui	xui	uui	0	1	2	3	1	4	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1			1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xui	uui	0	0	1
Leather Armor	0	0	1	1	14	17	0	0	16	0	250	0	3	3	481	3360	lea	lea			lea	lea	lea	xea	uea	0	1	2	3	1	4	1	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xea	uea	0	0	1
Hard Leather Armor	0	0	1	1	21	24	0	0	20	0	250	0	5	5	1060	4325	hla	hla			hla	hla	hla	xla	ula	0	1	2	3	1	4	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	1	1	1	1	1	1					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	8	0	xla	ula	0	0	1
