description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				3	msf	vip	ore					hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0	28				4	co1	co2	co3	leg				Cow Portal																																																																																							0
3 health potions + 3 mana potions + 1 standard gem -> full rejuvenate potion				0					7	hpot,qty=3	mpot,qty=3	gem2					rvl																																																																																							0
3 health potions +  3 mana potions + 1 chipped gem -> rejuvenate potion				0					7	hpot,qty=3	mpot,qty=3	gem0					rvs																																																																																							0
3 small rejuvs -> one large				0					6	rvs,qty=6							rvl																																																																																							0
1 perfect gem of each type + 1 amulet -> prismatic amulet				0					7	amu,mag	gpv	gpy	gpb	gpg	gpr	gpw	amu,crf,pre=331	50																																																																																						0
1 ring + 1 perfect ruby + 1 exploding potions -> garnet ring				0					4	rin,mag	gpr	opm	zas				rin,crf,pre=372	30																																																																																						0
1 ring + 1 perfect sapphire + 1 thawing potions-> cobalt ring				0					4	rin,mag	gpb	wms	zas				rin,crf,pre=353	30																																																																																						0
1 ring + 1 perfect topaz + 1 rejuvenation -> coral ring				0					4	rin,mag	gpy	rvs	zas				rin,crf,pre=392	30																																																																																						0
1 ring + 1 perfect emerald + 1 antidote potions -> jade ring				0					4	rin,mag	gpg	yps	zas				rin,crf,pre=412	30																																																																																						0
3 rings -> amulet	1			0					3	rin,mag,qty=3							amu,mag		100																																																																																					0
3 amulets -> ring	1			0					3	amu,mag,qty=3							rin,mag		100																																																																																					0
1 magic small shield + 1 spiked club + 2 skulls -> shield of spikes				0					5	shld,mag	gemz,qty=2	spc	zas				usetype,crf,suf=162	30		60																																																																																				0
4 health potion + 1 ruby + 1 magic sword -> sword of the leech				0					7	swor,mag	gemr	hpot,qty=4	zas				usetype,crf,suf=352	30		60																																																																																				0
1 diamond + 1 kriss + 1 staff + 1 belt -> savage polearm				0					5	kri	gemd	staf	belt	zas			pole,crf,pre=191	50		60																																																																																				0
1 strangling gas potion + 1 health potion -> antidote potion				0					2	gpl	hpot						yps																																																																																							0
2 arrows -> bolts				0					2	aqv,qty=2							cqv																																																																																							0
2 bolts -> arrows				0					2	cqv,qty=2							aqv																																																																																							0
3 chipped amethysts -> flawed amethyst	1			0					3	gcv,qty=3							gfv																																																																																							0
3 flawed amethysts -> standard amethyst	1			0					3	gfv,qty=3							gsv																																																																																							0
3 standard amethysts -> flawless amethyst	1			0					3	gsv,qty=3							gzv																																																																																							0
3 flawless amethysts -> perfect amethyst	1			0					3	gzv,qty=3							gpv																																																																																							0
3 chipped rubies -> flawed ruby	1			0					3	gcr,qty=3							gfr																																																																																							0
3 flawed rubies -> standard ruby	1			0					3	gfr,qty=3							gsr																																																																																							0
3 standard rubies -> flawless ruby	1			0					3	gsr,qty=3							glr																																																																																							0
3 flawless rubies -> perfect ruby	1			0					3	glr,qty=3							gpr																																																																																							0
3 chipped sapphires -> flawed sapphire	1			0					3	gcb,qty=3							gfb																																																																																							0
3 flawed sapphires -> standard sapphire	1			0					3	gfb,qty=3							gsb																																																																																							0
3 standard sapphires -> flawless sapphire	1			0					3	gsb,qty=3							glb																																																																																							0
3 flawless sapphires -> perfect sapphire	1			0					3	glb,qty=3							gpb																																																																																							0
3 chipped topazes -> flawed topaz	1			0					3	gcy,qty=3							gfy																																																																																							0
3 flawed topazes -> standard topaz	1			0					3	gfy,qty=3							gsy																																																																																							0
3 standard topazes -> flawless topaz	1			0					3	gsy,qty=3							gly																																																																																							0
3 flawless topazes -> perfect topaz	1			0					3	gly,qty=3							gpy																																																																																							0
3 chipped emeralds -> flawed emerald	1			0					3	gcg,qty=3							gfg																																																																																							0
3 flawed emeralds -> standard emerald	1			0					3	gfg,qty=3							gsg																																																																																							0
3 standard emeralds -> flawless emerald	1			0					3	gsg,qty=3							glg																																																																																							0
3 flawless emeralds -> perfect emerald	1			0					3	glg,qty=3							gpg																																																																																							0
3 chipped diamonds -> flawed diamond	1			0					3	gcw,qty=3							gfw																																																																																							0
3 flawed diamonds -> standard diamond	1			0					3	gfw,qty=3							gsw																																																																																							0
3 standard diamonds -> flawless diamond	1			0					3	gsw,qty=3							glw																																																																																							0
3 flawless diamonds -> perfect diamond	1			0					3	glw,qty=3							gpw																																																																																							0
3 chipped skulls -> flawed skull	1			0					3	skc,qty=3							skf																																																																																							0
3 flawed skulls -> standard skull	1			0					3	skf,qty=3							sku																																																																																							0
3 standard skulls -> flawless skull	1			0					3	sku,qty=3							skl																																																																																							0
3 flawless skulls -> perfect skull	1			0					3	skl,qty=3							skz																																																																																							0
3 rune 01 -> rune 02	1			100					2	r01,qty=2							r02																																																																																							0
3 rune 02 -> rune 03	1			100					2	r02,qty=2							r03																																																																																							0
3 rune 03 -> rune 04	1			100					2	r03,qty=2							r04																																																																																							0
3 rune 04 -> rune 05	1			100					2	r04,qty=2							r05																																																																																							0
3 rune 05 -> rune 06	1			100					2	r05,qty=2							r06																																																																																							0
3 rune 06 -> rune 07	1			100					2	r06,qty=2							r07																																																																																							0
3 rune 07 -> rune 08	1			100					2	r07,qty=2							r08																																																																																							0
3 rune 08 -> rune 09	1			100					2	r08,qty=2							r09																																																																																							0
3 rune 09 -> rune 10	1			100					2	r09,qty=2							r10																																																																																							0
3 perfect gems + 1 magic item -> magic item				100					4	any,mag	gem4,qty=3						usetype,mag			100																																																																																				0
1 arch gem + 1 magic item -> magic item	1			100					2	any,mag	gem6						usetype,mag			100																																																																																				0
2 star gems + 1 magic item -> magic item				100					3	any,mag	gem5,qty=2						usetype,mag			100																																																																																				0
2 xgem + 1 rare item -> 1  rare item				0					4	any,rar	gem7,qty=2	7as					usetype,rar			100																																																																																				0
3 rune 10 -> rune 11	1			100					2	r10,qty=2							r11																																																																																							0
3 rune 11 -> rune 12	1			100					2	r11,qty=2							r12																																																																																							0
3 rune 12 + 1 chipped sapphire -> rune 13	1			100					2	r12,qty=2							r13																																																																																							0
3 rune 13 + 1 chipped ruby -> rune 14	1			100					2	r13,qty=2							r14																																																																																							0
3 rune 14 + 1 chipped emerald -> rune 15	1			100					2	r14,qty=2							r15																																																																																							0
3 rune 15 + 1 chipped diamond -> rune 16	1			100					2	r15,qty=2							r16																																																																																							0
3 rune 16 + 1 flawed topaz -> rune 17	1			100					2	r16,qty=2							r17																																																																																							0
3 rune 17 + 1 flawed amethyst -> rune 18	1			100					2	r17,qty=2							r18																																																																																							0
3 rune 18 + 1 flawed sapphire -> rune 19	1			100					2	r18,qty=2							r19																																																																																							0
3 rune 19 + 1 flawed ruby -> rune 20	1			100					2	r19,qty=2							r20																																																																																							0
3 rune 20 + 1 flawed emerald -> rune 21	1			100					2	r20,qty=2							r21																																																																																							0
3 rune 21 + 1 flawed diamond -> rune 22	1			100					2	r21,qty=2							r22																																																																																							0
3 rune 22 + 1 standard topaz -> rune 23	1			100					2	r22,qty=2							r23																																																																																							0
3 rune 23 + 1 standard amethyst -> rune 24	1			100					2	r23,qty=2							r24																																																																																							0
3 rune 24 + 1 standard sapphire -> rune 25	1			100					2	r24,qty=2							r25																																																																																							0
3 rune 25 + 1 standard ruby -> rune 26	1			100					2	r25,qty=2							r26																																																																																							0
3 rune 26 + 1 standard emerald -> rune 27	1			100					2	r26,qty=2							r27																																																																																							0
3 rune 27 + 1 standard diamond -> rune 28	1			100					2	r27,qty=2							r28																																																																																							0
3 rune 28 + 1 flawless topaz -> rune 29	1			100					2	r28,qty=2							r29																																																																																							0
2 rune 29 + 1 flawless amethyst -> rune 30	1			100					2	r29,qty=2							r30																																																																																							0
2 rune 30 + 1 flawless sapphire -> rune 31	1			100					2	r30,qty=2							r31																																																																																							0
2 rune 31 + 1 flawless ruby -> rune 32	1			100					2	r31,qty=2							r32																																																																																							0
2 rune 32 + 1 flawless emerald -> rune 33	1			100					2	r32,qty=2							r33																																																																																							0
smith rune + weapon -> repair	1			100					2	weap,noe	8as						useitem,rep,rch,qty=500																																																																																							0
smith rune + armor -> repair	1			100					2	armo,noe	8as						useitem,rep,rch,qty=500																																																																																							0
Mith Hammer + Socketed Item -> Smash Gems/Runs	1			100					2	any,sock	9as						useitem,uns																																																																																							0
1 Socket + 1 magic weapon -> socketed, magic weapon	1			0					2	weap,mag	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 magic armor -> socketed, magic armor	1			0					2	armo,mag	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 magic weapon -> socketed, magic weapon	1			0					2	weap,mag	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 magic armor -> socketed, magic armor	1			0					2	armo,mag	2as,qty=1						useitem				sock			2	2																																																																															0
3 Socket + 1 maguc weapon -> socketed, magic weapon	1			0					2	weap,mag	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 magic armor -> socketed, magic armor	1			0					2	armo,mag	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 maguc weapon -> socketed, magic weapon	1			0					2	weap,mag	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 magic armor -> socketed, magic armor	1			0					2	armo,mag	4as,qty=1						useitem				sock			4	4																																																																															0
3 perfect amethysts -> star amethyst	1			0					3	gpv,qty=3							g6v																																																																																							0
3 perfect rubies -> star ruby	1			0					3	gpr,qty=3							g6r																																																																																							0
3 perfect sapphires -> star sapphire	1			0					3	gpb,qty=3							g6b																																																																																							0
3 perfect topazes -> star topaz	1			0					3	gpy,qty=3							g6y																																																																																							0
3 perfect emeralds ->star emerald	1			0					3	gpg,qty=3							g6g																																																																																							0
3 perfect diamonds -> star diamond	1			0					3	gpw,qty=3							g6w																																																																																							0
3 perfect skulls -> star skull	1			0					3	skz,qty=3							sk6																																																																																							0
1 Socket + 1 rare weapon -> socketed, rare weapon	1			0					3	weap,rar	1as,qty=2						useitem				sock			1	1																																																																															0
1 Socket + 1 rare armor -> socketed, rare armor	1			0					3	armo,rar	1as,qty=2						useitem				sock			1	1																																																																															0
2 Socket + 1 rare weapon -> socketed, rare weapon	1			0					3	weap,rar	2as,qty=2						useitem				sock			2	2																																																																															0
2 Socket + 1 rare armor -> socketed, rare armor	1			0					3	armo,rar	2as,qty=2						useitem				sock			2	2																																																																															0
3 Socket + 1 rare weapon -> socketed, rare weapon	1			0					3	weap,rar	3as,qty=2						useitem				sock			3	3																																																																															0
3 Socket + 1 rare armor -> socketed, rare armor	1			0					3	armo,rar	3as,qty=2						useitem				sock			3	3																																																																															0
4 Socket + 1 rare weapon -> socketed, rare weapon	1			0					3	weap,rar	4as,qty=2						useitem				sock			4	4																																																																															0
4 Socket + 1 rare armor -> socketed, rare armor	1			0					3	armo,rar	4as,qty=2						useitem				sock			4	4																																																																															0
weapon uni + x socket	1			0					2	weap,uni	5as,qty=1						useitem				sock			1	1																																																																															0
armor uni + x socket	1			0					2	armo,uni	5as,qty=1						useitem				sock			1	1																																																																															0
3 Single Sockets -> 1 Double Socket	1			0					3	1as,qty=3							2as																																																																																							0
3 Double Sockets -> 1 Tripple Socket	1			0					3	2as,qty=3							3as																																																																																							0
3 Tripple Sockets -> 1 Tripple Socket	1			0					3	3as,qty=3							4as																																																																																							0
3 Quad Sockets -> 1 Unique Socket	1			0					3	4as,qty=3							5as																																																																																							0
Mithril Weapon	1			0					2	weap,mag,noe	6as,qty=1						usetype,mag			100																																																																																				0
Adamant Weapon	1			0					2	weap,rar,noe	7as,qty=1						usetype,rar			100																																																																																				0
Mithril Armor	1			0					2	armo,mag,noe	6as,qty=1						usetype,mag			100																																																																																				0
Adamant Armor	1			0					2	armo,rar,noe	7as,qty=1						usetype,rar			100																																																																																				0
3 Mithril -> 1 Adamant	1			0					3	6as,qty=3							7as																																																																																							0
weapon set	1			0					2	weap,set	5as,qty=1						useitem				sock			1	1																																																																															0
armor set	1			0					2	armo,set	5as,qty=1						useitem				sock			1	1																																																																															0
3 star amethysts -> arch amethyst	1			0					3	g6v,qty=3							g7v																																																																																							0
3 star rubies -> arch ruby	1			0					3	g6r,qty=3							g7r																																																																																							0
3 star sapphires -> arch sapphire	1			0					3	g6b,qty=3							g7b																																																																																							0
3 star topazes -> arch topaz	1			0					3	g6y,qty=3							g7y																																																																																							0
3 star emeralds -> arch emerald	1			0					3	g6g,qty=3							g7g																																																																																							0
3 star diamonds -> arch diamond	1			0					3	g6w,qty=3							g7w																																																																																							0
3 star skulls -> arch skull	1			0					3	sk6,qty=3							sk7																																																																																							0
3 arch amethysts -> x amethyst	1			0					3	g7v,qty=3							g8v																																																																																							0
3 arch rubies -> x ruby	1			0					3	g7r,qty=3							g8r																																																																																							0
3 arch sapphires -> x sapphire	1			0					3	g7b,qty=3							g8b																																																																																							0
3 arch topazes -> x topaz	1			0					3	g7y,qty=3							g8y																																																																																							0
3 arch emeralds -> x emerald	1			0					3	g7g,qty=3							g8g																																																																																							0
3 arch diamonds -> x diamond	1			0					3	g7w,qty=3							g8w																																																																																							0
3 arch skulls -> x skull	1			0					3	sk7,qty=3							sk8																																																																																							0
1 Socket + 1 normal weapon -> socketed, normal weapon	1			0					2	weap,nor	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 normal armor -> socketed, normal armor	1			0					2	armo,nor	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 normal weapon -> socketed, normal weapon	1			0					2	weap,nor	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 normal armor -> socketed, normal armor	1			0					2	armo,nor	2as,qty=1						useitem				sock			2	2																																																																															0
3 Socket + 1 normal weapon -> socketed, normal weapon	1			0					2	weap,nor	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 normal armor -> socketed, normal armor	1			0					2	armo,nor	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 normal weapon -> socketed, normal weapon	1			0					2	weap,nor	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 normal armor -> socketed, normal armor	1			0					2	armo,nor	4as,qty=1						useitem				sock			4	4																																																																															0
X Socket + 1 normal weapon -> socketed, normal weapon	1			0					2	weap,nor	5as,qty=1						useitem				sock			5	5																																																																															0
X Socket + 1 normal armor -> socketed, normal armor	1			0					2	armo,nor	5as,qty=1						useitem				sock			5	5																																																																															0
Remove-CurseRing	1			0					6	CursedRing,qty=1	pg1,qty=1	pg2,qty=1	pg3,qty=1	pg4,qty=1	pg5,qty=1		BlessedRing																																																																																							0
Remove-CurseAmulet	1			0					6	CursedAmulet,qty=1	pg6,qty=1	pg7,qty=1	pg8,qty=1	pg9,qty=1	p10,qty=1		BlessedAmulet																																																																																							0
Remove-CurseSword	1			0					6	CursedSword,qty=1	p11,qty=1	p12,qty=1	p13,qty=1	p14,qty=1	p15,qty=1		BlessedSword																																																																																							0
1 Socket + 1 normal weapon -> socketed, Hiq weapon	1			0					2	weap,hiq	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 normal armor -> socketed, Hiq armor	1			0					2	armo,hiq	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 normal weapon -> socketed, Hiq weapon	1			0					2	weap,hiq	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 normal armor -> socketed, Hiq armor	1			0					2	armo,hiq	2as,qty=1						useitem				sock			2	2																																																																															0
3 Socket + 1 normal weapon -> socketed, Hiq weapon	1			0					2	weap,hiq	3as,qty=1						useitem				sock			3	3																																																																															0
3 Socket + 1 normal armor -> socketed, Hiq armor	1			0					2	armo,hiq	3as,qty=1						useitem				sock			3	3																																																																															0
4 Socket + 1 normal weapon -> socketed, Hiq weapon	1			0					2	weap,hiq	4as,qty=1						useitem				sock			4	4																																																																															0
4 Socket + 1 normal armor -> socketed, Hiq armor	1			0					2	armo,hiq	4as,qty=1						useitem				sock			4	4																																																																															0
X Socket + 1 normal weapon -> socketed, Hiq weapon	1			0					2	weap,hiq	5as,qty=1						useitem				sock			5	5																																																																															0
X Socket + 1 normal armor -> socketed, Hiq armor	1			0					2	armo,hiq	5as,qty=1						useitem				sock			5	5																																																																															0
1 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,nor	1as,qty=1						useitem				sock			1	1																																																																															0
1 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,nor	1as,qty=1						useitem				sock			1	1																																																																															0
2 Socket + 1 normal weapon -> socketed, eth weapon	1			0					2	weap,eth,nor	2as,qty=1						useitem				sock			2	2																																																																															0
2 Socket + 1 normal armor -> socketed, eth armor	1			0					2	armo,eth,nor	2as,qty=1						useitem				sock			2	2																																																																															0
