Level	Amazon	Sorceress	Necromancer	Paladin	Barbarian	Druid	Assassin	ExpRatio
MaxLvl	105	105	105	105	105	105	105	10
0	0	0	0	0	0	0	0	512
1	250	0	250	250	250	250	250	512
2	750	0	750	750	750	750	750	512
3	1875	0	1875	1875	1875	1875	1875	512
4	3937	0	3937	3937	3937	3937	3937	512
5	7087	0	7087	7087	7087	7087	7087	512
6	11340	0	11340	11340	11340	11340	11340	512
7	16443	0	16443	16443	16443	16443	16443	512
8	22198	0	22198	22198	22198	22198	22198	512
9	28857	0	28857	28857	28857	28857	28857	512
10	36072	0	36072	36072	36072	36072	36072	512
11	45090	0	45090	45090	45090	45090	45090	512
12	56362	0	56362	56362	56362	56362	56362	512
13	70453	0	70453	70453	70453	70453	70453	512
14	88066	0	88066	88066	88066	88066	88066	512
15	110082	0	110082	110082	110082	110082	110082	512
16	137603	0	137603	137603	137603	137603	137603	512
17	172004	0	172004	172004	172004	172004	172004	512
18	215005	0	215005	215005	215005	215005	215005	512
19	268756	0	268756	268756	268756	268756	268756	512
20	335945	0	335945	335945	335945	335945	335945	512
21	419932	0	419932	419932	419932	419932	419932	512
22	524915	0	524915	524915	524915	524915	524915	512
23	656143	0	656143	656143	656143	656143	656143	512
24	820179	0	820179	820179	820179	820179	820179	512
25	1025224	0	1025224	1025224	1025224	1025224	1025224	512
26	1281530	0	1281530	1281530	1281530	1281530	1281530	512
27	1601913	0	1601913	1601913	1601913	1601913	1601913	512
28	1951130	0	1951130	1951130	1951130	1951130	1951130	512
29	2331776	0	2331776	2331776	2331776	2331776	2331776	512
30	2746681	0	2746681	2746681	2746681	2746681	2746681	512
31	3198927	0	3198927	3198927	3198927	3198927	3198927	512
32	3691876	0	3691876	3691876	3691876	3691876	3691876	512
33	4229189	0	4229189	4229189	4229189	4229189	4229189	512
34	4814861	0	4814861	4814861	4814861	4814861	4814861	512
35	5453244	0	5453244	5453244	5453244	5453244	5453244	512
36	6149081	0	6149081	6149081	6149081	6149081	6149081	512
37	6907543	0	6907543	6907543	6907543	6907543	6907543	512
38	7734267	0	7734267	7734267	7734267	7734267	7734267	512
39	8635395	0	8635395	8635395	8635395	8635395	8635395	512
40	9617626	0	9617626	9617626	9617626	9617626	9617626	512
41	10688257	0	10688257	10688257	10688257	10688257	10688257	512
42	11855245	0	11855245	11855245	11855245	11855245	11855245	512
43	13127262	0	13127262	13127262	13127262	13127262	13127262	512
44	14513761	0	14513761	14513761	14513761	14513761	14513761	512
45	16025044	0	16025044	16025044	16025044	16025044	16025044	512
46	17672343	0	17672343	17672343	17672343	17672343	17672343	512
47	19467899	0	19467899	19467899	19467899	19467899	19467899	512
48	21425054	0	21425054	21425054	21425054	21425054	21425054	512
49	23558354	0	23558354	23558354	23558354	23558354	23558354	512
50	25883651	0	25883651	25883651	25883651	25883651	25883651	512
51	28418224	0	28418224	28418224	28418224	28418224	28418224	512
52	31180909	0	31180909	31180909	31180909	31180909	31180909	512
53	34192236	0	34192236	34192236	34192236	34192236	34192236	512
54	37474582	0	37474582	37474582	37474582	37474582	37474582	512
55	41052340	0	41052340	41052340	41052340	41052340	41052340	512
56	44952095	0	44952095	44952095	44952095	44952095	44952095	512
57	49202829	0	49202829	49202829	49202829	49202829	49202829	512
58	53836128	0	53836128	53836128	53836128	53836128	53836128	512
59	58886424	0	58886424	58886424	58886424	58886424	58886424	512
60	64391247	0	64391247	64391247	64391247	64391247	64391247	512
61	70391505	0	70391505	70391505	70391505	70391505	70391505	512
62	76931785	0	76931785	76931785	76931785	76931785	76931785	512
63	84060690	0	84060690	84060690	84060690	84060690	84060690	512
64	91831198	0	91831198	91831198	91831198	91831198	91831198	512
65	100301050	0	100301050	100301050	100301050	100301050	100301050	512
66	109533190	0	109533190	109533190	109533190	109533190	109533190	512
67	119596222	0	119596222	119596222	119596222	119596222	119596222	512
68	130564926	0	130564926	130564926	130564926	130564926	130564926	512
69	142520815	0	142520815	142520815	142520815	142520815	142520815	512
70	155552733	0	155552733	155552733	155552733	155552733	155552733	512
71	169757524	0	169757524	169757524	169757524	169757524	169757524	512
72	185240746	0	185240746	185240746	185240746	185240746	185240746	512
73	202117458	0	202117458	202117458	202117458	202117458	202117458	512
74	220513074	0	220513074	220513074	220513074	220513074	220513074	512
75	240564295	0	240564295	240564295	240564295	240564295	240564295	475
76	262420127	0	262420127	262420127	262420127	262420127	262420127	450
77	286242983	0	286242983	286242983	286242983	286242983	286242983	425
78	312209896	0	312209896	312209896	312209896	312209896	312209896	400
79	340513832	0	340513832	340513832	340513832	340513832	340513832	375
80	371365122	0	371365122	371365122	371365122	371365122	371365122	350
81	404993028	404993028	404993028	404993028	404993028	404993028	404993028	325
82	441647445	441647445	441647445	441647445	441647445	441647445	441647445	300
83	481600760	481600760	481600760	481600760	481600760	481600760	481600760	275
84	525149873	525149873	525149873	525149873	525149873	525149873	525149873	250
85	572618407	572618407	572618407	572618407	572618407	572618407	572618407	225
86	624359108	624359108	624359108	624359108	624359108	624359108	624359108	200
87	680756473	680756473	680756473	680756473	680756473	680756473	680756473	175
88	742229600	742229600	742229600	742229600	742229600	742229600	742229600	150
89	809235309	809235309	809235309	809235309	809235309	809235309	809235309	125
90	882271532	882271532	882271532	882271532	882271532	882271532	882271532	100
91	961881015	961881015	961881015	961881015	961881015	961881015	961881015	75
92	1048655352	1048655352	1048655352	1048655352	1048655352	1048655352	1048655352	62
93	1143239378	1143239378	1143239378	1143239378	1143239378	1143239378	1143239378	50
94	1246335967	1246335967	1246335967	1246335967	1246335967	1246335967	1246335967	37
95	1358711249	1358711249	1358711249	1358711249	1358711249	1358711249	1358711249	25
96	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	1500000000	20
97	1650000000	1650000000	1650000000	1650000000	1650000000	1650000000	1650000000	15
98	1831000000	1831000000	1831000000	1831000000	1831000000	1831000000	1831000000	10
99	2050000000	2050000000	2050000000	2050000000	2050000000	2050000000	2050000000	5
100	2316000000	2316000000	2316000000	2316000000	2316000000	2316000000	2316000000	4
101	2640000000	2640000000	2640000000	2640000000	2640000000	2640000000	2640000000	3
102	3035000000	3035000000	3035000000	3035000000	3035000000	3035000000	3035000000	2
103	3520000000	3520000000	3520000000	3520000000	3520000000	3520000000	3520000000	1
104	4250000000	4250000000	4250000000	4250000000	4290000000	4290000000	4250000000	1
105	4294967295	4294967295	4294967295	4294967295	4900000000	4900000000	4294967295	1
