Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	0	0	271	1	1	6	150	merc01	merc41	150	30	59	10	15	3	35	6	45	8	10	10		1	3	1	0	0	bow	xbow	fire	75	Critical Strike	1	10	0	2	4	Fire Arrow	4	25	8	2	4	Slow Missiles	10	0	0	2	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	25	150	merc01	merc41	150	30	287	17	147	6	63	6	89	8	230	20	1	7	9	4	0	0	bow	xbow	fire	75	Critical Strike	1	10	0	8	4	Fire Arrow	4	69	0	8	4	Slow Missiles	10	0	0	8	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Fire - Normal	0	0	271	1	1	49	150	merc01	merc41	150	30	693	33	435	9	93	6	137	8	710	30	2	19	21	6	0	0	bow	xbow	fire	75	Critical Strike	1	10	0	16	4	Fire Arrow	4	69	0	16	4	Slow Missiles	10	0	0	16	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	6	150	merc01	merc41	150	30	59	10	15	3	35	6	45	8	10	10		1	3	1	0	0	bow	xbow	cold	75	Critical Strike	1	10	0	2	4	Cold Arrow	4	25	2	2	4	Slow Missiles	10	0	0	2	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	25	150	merc01	merc41	150	30	287	16	147	6	63	6	89	8	230	20	1	7	9	4	0	0	bow	xbow	cold	75	Critical Strike	1	10	0	8	4	Cold Arrow	4	36	0	8	4	Slow Missiles	10	0	0	8	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Ice - Normal	0	1	271	1	1	49	150	merc01	merc41	150	30	662	21	435	9	93	6	137	8	710	30	2	19	21	6	0	0	bow	xbow	cold	75	Critical Strike	1	10	0	16	4	Cold Arrow	4	36	0	16	4	Slow Missiles	10	0	0	16	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	25	150	merc01	merc41	6000	30	259	16	132	6	60	6	84	8	207	20	1	6	8	4	0	0	bow	xbow	fire	75	Critical Strike	1	10	0	7	4	Fire Arrow	4	69	0	7	4	Slow Missiles	10	0	0	7	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Fire - Nightmare	0	2	271	1	2	49	150	merc01	merc41	6000	30	633	21	420	9	90	6	132	8	687	30	2	18	20	6	0	0	bow	xbow	fire	75	Critical Strike	1	10	0	15	4	Fire Arrow	4	69	0	15	4	Slow Missiles	10	0	0	15	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	25	150	merc01	merc41	7500	30	259	16	132	6	60	6	84	8	207	20	1	6	8	4	0	0	bow	xbow	cold	75	Critical Strike	1	10	0	7	4	Cold Arrow	4	69	0	7	4	Slow Missiles	10	0	0	7	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Ice - Nightmare	0	3	271	1	2	49	150	merc01	merc41	7500	30	633	21	420	9	90	6	132	8	687	30	2	18	20	6	0	0	bow	xbow	cold	75	Critical Strike	1	10	0	15	4	Cold Arrow	4	69	0	15	4	Slow Missiles	10	0	0	15	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Fire - Hell	0	4	271	1	3	49	150	merc01	merc41	12500	30	569	21	378	9	87	6	127	8	618	30	2	17	19	6	0	0	bow	xbow	fire	75	Critical Strike	1	10	0	14	4	Fire Arrow	4	69	0	14	4	Slow Missiles	10	0	0	14	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Ice - Hell	0	5	271	1	3	49	150	merc01	merc41	14000	30	569	21	378	9	87	6	127	8	618	30	2	17	19	6	0	0	bow	xbow	cold	75	Critical Strike	1	10	0	14	4	Cold Arrow	4	69	0	14	4	Slow Missiles	10	0	0	14	4	MercHeal	10	0	0	8	16													2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	10	150	merc01	merc41	150	30	480	50	30	3	25	8	45	16	100	10		1	2	0	0	0	bow	xbow	fire	1	Fire Arrow	4	75	1	1	8	Critical Strike	10	0	0	4	1	Pierce	10	0	0	1	1	Exploding Arrow	4	5	1	1	8	Immolation Arrow	4	300	2	1	8	MercHeal	10	0	0	8	16	2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	55	150	merc01	merc41	150	30	2794	60	165	3	70	8	135	16	550	10	1	4	7	0	10	0	bow	xbow	fire	1	Fire Arrow	4	75	1	12	6	Critical Strike	10	0	0	8	1	Pierce	10	0	0	2	1	Exploding Arrow	4	5	1	12	6	Immolation Arrow	4	300	2	12	6	MercHeal	10	0	0	8	16	2	1	2	0
