ItemType	Code	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Charm	Gem	Beltable	MaxSock1	MaxSock25	MaxSock40	TreasureClass	Rarity	StaffMods	CostFormula	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
None				0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
None				0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Shield	shie	shld		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	4	4	4	0	3		1		0							armo	0
Torso Armor	tors	armo		1	1	tors	tors			0	0	0	0		1	0	0	0	0	6	6	6	0	3		1		0							armo	0
Gold	gold	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0								0
Bow Quiver	bowq	misl	armo	0	1	rarm	larm		bow	0	1	0	1	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Crossbow Quiver	xboq	misl	armo	0	1	rarm	larm		xbow	0	1	0	1	1	1	0	0	0	0	0	0	0	0	3		0		0							misc	0
Player Body Part	play	misc		0	0					0	0	0	0			1	1	0	0	0	0	0	0	3		0		0							misc	0
Herb	herb	misc		0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0							misc	0
Potion	poti	misc		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Ring	ring	misc		0	1	rrin	lrin			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		0		5	invrin1	invrin2	invrin3	invrin4	invrin5		misc	0
Elixir	elix	misc		0	0					0	0	0	0			0	0	0	1	0	0	0	0	3		0		0							misc	0
Amulet	amul	misc		0	1	neck	neck			0	0	0	0	1	1	0	0	0	0	0	0	0	0	3		0		3	invamu1	invamu2	invamu3				misc	0
Charm	char	misc		0	0					0	0	0	0	1		0	1	0	0	0	0	0	0	3		0		3	invch1	invch4	invch7				misc	0
Not Used				0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Boots	boot	armo		1	1	feet	feet			0	0	0	0		1	0	0	0	0	0	0	0	0	3		1		0							misc	0
Gloves	glov	armo		1	1	glov	glov			0	0	0	0		1	0	0	0	0	0	0	0	0	3		1		0							misc	0
Not Used				0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Book	book	misc		0	0					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Belt	belt	armo		1	1	belt	belt			0	0	0	0		1	0	0	0	0	0	0	0	0	3		1		0							misc	0
Gem	gem	sock		0	0					0	0	0	0			1	0	1	0	0	0	0	0	3		0		0							misc	0
Torch	torc	misc		0	1					0	0	0	0			1	0	0	0	0	0	0	0	3		0		0							misc	0
Scroll	scro	misc		0	0					0	0	0	0			1	0	0	1	0	0	0	0	3		0		0							misc	0
Not Used				0	0					0	0	0	0			0	0	0	0	0	0	0	0	3		0		0								0
Scepter	scep	rod		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	1	pal	0		0							weap	0
Wand	wand	rod		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	2	2	2	0	1	nec	0		0							weap	0
Staff	staf	rod	2Hwp	1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	1	sor	0		0							weap	0
Bow	bow	miss	2Hwp	0	1	rarm	larm	bowq		0	0	0	0		1	0	0	0	0	6	6	6	1	3		0		0							weap	0
Axe	axe	mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Club	club	blun		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Sword	swor	mele		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
Hammer	hamm	blun		1	1	rarm	larm			0	0	0	0		1	0	0	0	0	6	6	6	0	3		0		0							weap	0
