Name	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl1	MonLvl2	MonLvl3	MonLvl1Ex	MonLvl2Ex	MonLvl3Ex	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	EntryFile	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	Beta
Null	0	0	0			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0							0	0																																													0	0	255				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Town	1	0	0			0	56	40	56	40	56	40	-1	-1	0	1	1	0	0	0	1	1	0	0	2	1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	1	1	0	0	2025	0	0	0			0	0	0	0							0	0		bighead2	fallenshaman4	arach1	cr_archer4	skmage_cold2	bugbear						bighead2	fallenshaman4	arach1	cr_archer4	skmage_cold2	bugbear					bighead2	arach1	skmage_cold2	cr_archer4	fallenshaman4						chicken				30								0	1	0	Rogue Encampment	To The Rogue Encampment	A1L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Act 1 - Wilderness 1	2	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	0	4	5	0	0	0	8	8	8	8	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	1	55	85	1	41	71	1100	1300	1500	4	4	7	7	9	9	1	0	5	quillrat1	fallen1	zombie1									quillrat1	fallen1	brute1	corruptrogue1	D1Shredded1						quillrat1	fallen1																					0	2	255	Blood Moor	To The Blood Moor	A1L2	4	38	33	34	0	0	0	0	3	17	17	17	0	0	0	0	1
Act 1 - Wilderness 2	3	0	0			0	80	80	80	80	80	80	1000	1000	0	1	1	0	0	0	1	1	1	0	3	2	6	1	4	5	0	0	0	9	9	9	9	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	2	56	85	2	41	71	1100	1300	1500	4	4	6	6	8	8	1	0	7	corruptrogue1	fallenshaman1	cr_lancer1	brute1	D1Arachnon1	D1Hidden1	D1Shredded1					brute1	corruptrogue1	fallenshaman1	cr_lancer1	D1Arachnon1	D1Hidden1	D1Shredded1				brute1	corruptrogue1	cr_lancer1	D1Shredded1																			0	2	1	Cold Plains	To The Cold Plains	A1L3	4	38	33	34	0	0	0	0	3	22	22	22	0	0	0	0	1
Act 1 - Wilderness 3	4	0	0			0	80	80	80	80	80	80	1000	1500	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	3	56	85	3	41	71	1100	1300	1500	4	4	6	6	8	8	1	0	6	skeleton1	zombie2	crownest1	goatman1	cr_archer1	D1SkeletonBow2						skeleton1	zombie2	crownest1	goatman1	cr_archer1	D1SkeletonBow2					skeleton1	zombie2	foulcrow1	cr_archer1	D1SkeletonBow2																		0	2	2	Stony Field	To The Stony Field	A1L4	1	38	33	34	0	0	0	0	4	27	27	27	0	0	0	0	1
Act 1 - Wilderness 4	5	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	3	-1	5	0	0	0	10	10	10	10	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	5	57	85	5	42	72	1100	1300	1500	4	4	7	7	9	9	1	0	7	fallen2	corruptrogue2	quillbear2	cr_lancer2	sk_archer1	D1BatDemon2	D1Hidden2					fallen2	corruptrogue2	quillbear2	cr_lancer2	sk_archer1	D1BatDemon2	D1Hidden2				fallenshaman2	corruptrogue2	quillrat2	cr_lancer2	sk_archer1	D1BatDemon2	D1Hidden2																0	2	255	Dark Wood	To The Dark Wood	A1L5	1	38	33	34	0	0	0	0	4	30	30	30	0	0	0	0	1
Act 1 - Wilderness 5	6	0	0	1	1	0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	4	4	5	0	0	20	11	11	11	11	0	-1	-1	10	0	1	2	3	-1	0	0	0	0	0	0	1	0	2025	6	57	85	6	43	72	1100	1300	1500	5	5	7	7	10	10	1	0	7	crownest2	skeleton3	brute2	Gilded Vampire	fallenshaman2	D1Shredded2	D1Arachnon2					crownest2	D1SkeletonBow3	brute2	Gilded Vampire	fallenshaman2	D1Shredded2	D1Arachnon2				skeleton2	foulcrow2	brute2	D1Shredded2	Gilded Vampire	D1SkeletonBow3																	0	2	3	Black Marsh	To The Black Marsh	A1L6	1	38	33	34	0	0	0	0	5	32	32	32	0	0	0	0	1
Act 1 - Wilderness 6	7	0	0			0	80	80	80	80	80	80	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	6	2	4	5	0	0	0	12	12	12	12	0	-1	-1	-1	0	1	2	3	-1	0	0	0	0	1	0	1	0	2025	7	57	85	7	43	72	1200	1400	1600	6	6	9	9	12	12	1	0	7	corruptrogue3	quillbear3	cr_lancer3	sk_archer2	skmage_fire1	D1BatDemon3	D1Hidden3					corruptrogue3	quillbear3	cr_lancer3	sk_archer2	skmage_fire1	D1BatDemon3	D1Hidden3				corruptrogue3	quillrat3	cr_lancer3	sk_archer2	skmage_fire1	D1BatDemon3	D1Hidden3																0	2	255	Tamoe Highland	To The Tamoe Highland	A1L7	1	38	33	34	0	0	0	0	5	35	35	35	0	0	0	0	1
Act 1 - Cave 1	8	0	0			1	200	200	200	200	200	200	1500	1000	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	2	0	0	0	0	0	0	0	4	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	1	2025	1	56	85	1	41	71	800	1400	2000	1	1	5	5	7	7	0	0	5	zombie1	brute1	fallenshaman1	D1BatDemon1								D1Shredded1	brute1	fallenshaman1	D1BatDemon1	D1SkeletonBow1																rat	bat			30	30							0	4	255	Den of Evil	To The Den of Evil	A1L9	6	4	0	0	0	0	0	0	35	45	0	0	0	0	0	0	1
Act 1 - Cave 2	9	0	0			2	200	200	200	200	200	200	1500	1300	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	3	0	0	0	13	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	56	85	3	42	71	3000	3000	3000	5	5	9	9	10	10	1	0	6	skeleton1	zombie2	cr_archer3	D1SkeletonBow1	goatman2	sk_archer1						skeleton1	zombie2	cr_archer3	D1SkeletonBow1	goatman2	sk_archer1					skeleton1	zombie2	cr_archer3	wraith1	goatman2	sk_archer1	D1SkeletonBow1				rat	bat			30	30							0	4	255	Cave Level 1	To The Cave Level 1	A1L9	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	1
