Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	divide	multiply	add
																																						0	0	0
Sturdy	0	0	1	4	45	3				0	101	ac%		45	50											armo							bowq	xboq				0	0	0
Strong	0	0	1	9	45	6				0	101	ac%		51	60											armo							bowq	xboq				0	0	0
Glorious	0	0	1	19	45	14				0	101	ac%		61	70											armo							bowq	xboq				0	0	0
Blessed	0	0	1	25	45	18				0	101	ac%		71	80											armo							bowq	xboq				0	0	0
Saintly	0	0	1	31	45	23				0	101	ac%		81	90									1	dgld	armo							bowq	xboq				0	0	0
Holy	0	0	1	36	45	27				0	101	ac%		91	100									1	dgld	armo							bowq	xboq				0	0	0
Devious	0	0	1	7	45	5				0	103	red-mag	0	2	2									1	dblu	shld												0	0	0
Fortified	0	0	1	14	45	10				0	103	red-mag	0	3	3									1	dblu	shld												0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Jagged	0	0	1	1	10	1				0	106	dmg%	0	45	50											weap												0	0	0
Deadly	0	0	1	5	15	3				0	106	dmg%	0	51	55											weap												0	0	0
Vicious	0	0	1	8	20	6				0	106	dmg%	0	56	60											weap												0	0	0
Brutal	0	0	1	14	25	10				0	106	dmg%	0	61	70											weap												0	0	0
Massive	0	0	1	20	30	15				0	106	dmg%	0	71	80									1	dgld	weap												0	0	0
Savage	0	0	1	26	35	19				0	106	dmg%	0	81	90									1	dgld	weap							staf	wand				0	0	0
Merciless	0	0	1	32	40	24				0	106	dmg%	0	91	100									1	dgld	weap							staf	wand				0	0	0
Vulpine	0	0	1	9	45	6				0	107	dmg-to-mana	0	10	10									1	cblu	shld	amul											0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
																																						0	0	0
Tireless	0	0	1	14		10				0	109	regen-stam	0	50	50											boot												0	0	0
Rugged	0	0	1	14		10				0	110	stam	0	10	20											boot	glov	belt	ring	amul								0	0	0
Bronze	0	0	1	1	45	1				0	111	att	0	10	20											weap	ring	glov	amul									0	0	0
Iron	0	0	1	4	45	3				0	111	att	0	21	40											weap	ring											0	0	0
Steel	0	0	1	8	45	6				0	111	att	0	41	60											weap	ring											0	0	0
Silver	0	0	1	12	45	9				0	111	att	0	61	80											weap	ring											0	0	0
																																						0	0	0
Gold	0	0	1	17	45	12				0	111	att	0	81	100									1	lgld	weap												0	0	0
Platinum	0	0	1	22	45	16				0	111	att	0	101	120									1	lgld	weap	ring											0	0	0
