Id	Attack1	Weapon1	Att1Del	Wea1Del	Att1Prb	Wea1Vol	Attack2	Weapon2	Att2Del	Wea2Del	Att2Prb	Wea2Vol	HitSound	DeathSound	HitDelay	DeaDelay	Skill1	Skill2	Skill3	Skill4	Footstep	FootstepLayer	FsCnt	FsOff	FsPrb	Neutral	NeuTime	Init	Taunt	Flee	CvtMo1	CvtSk1	CvtTgt1	CvtMo2	CvtSk2	CvtTgt2	CvtMo3	CvtSk3	CvtTgt3	EOL
																																								0
act1hire													rogue_hit_1	rogue_death_1	0	0					medium_walk_dirt_1		2	0	100															0
act2hire		weapon_2ht_1		8		255		weapon_2ht_1		8		255	guard_hit_1	guard_death_1	0	0					medium_walk_dirt_1		2	0	100															0
act3hire		weapon_1ht_1		5		255		weapon_1ht_1		5		255	ironwolf_hit_1	ironwolf_death_1	0	0					medium_walk_dirt_1		2	0	100															0
ancient		weapon_1hs_large_1		5		255		weapon_1hs_large_1		5		255	barbarian_hit_1	barbarian_death_1	2	0																								0
andariel	andariel_attack_1	weapon_giant_1	0	5	70	180	andariel_attack_1	weapon_giant_1	0	5	70	180	andariel_hit_1	andariel_death	2	1						walk_hoof_1	2	0	100				andy_taunt_1											0
arach	spider_attack_1	spider_swish_1	2	4	100	255	spider_attack_1	spider_swish_1	2	4	100	255	spider_hit_1	spider_death_1	2	1					light_walk_dirt_1		3	0	100	spider_neutral_1	150													0
baal	baal_attack_1		0		100		baal_attack_2		2		100		baal_hit_1	baal_death	2	0	baal_missilecast	baal_summon	baal_novacast		heavy_walk_dirt_1	walk_hoof_1	2	0	100				baal_taunt_1											0
baalcrab	baal_attack_1		0		100		baal_attack_2		2		100		baal_hit_1	baal_death	2	0	baal_missilecast	baal_summon	baal_novacast		heavy_walk_dirt_1	walk_hoof_1	2	0	100				baal_taunt_3											0
baalminion	baalminion_attack_1	weapon_2ht_1	2	5	100	255	baalminion_attack_1	weapon_giant_1	2	4	100	255	baalminion_hit_1	baalminion_death_1	2	0					heavy_walk_dirt_1		2	0	100															0
baaltentacle	baaltentacle_attack_1		0		100								impact_stone_1	baaltentacle_death_1	2	0	baaltentacle_appear_1																							0
baboon	baboondemon_attack_1	weapon_kick_1	0	4	100	180	baboondemon_attack_1	weapon_kick_1	0	4	100	180	baboondemon_hit_1	baboondemon_death_1	2	1					medium_walk_dirt_1		2	0	100	baboondemon_neutral_1	150													0
barricadedoor														barricadedoor_1		0																								0
bat																										creature_bat_1	600													0
batdemon	batdemon_attack_1		0		100		batdemon_shock_1		0	0	100	255	batdemon_hit_1	batdemon_death_1	2	1		batdemon_unhide_1				hawk_wing_1	2	0	100															0
bear	druidbear_attack_1	weapon_1ht_1	0	5	80	180	druidbear_attack_1	weapon_2hs_small_1	0	6	80	170	druidbear_hit_1		2		druidbear_emerge				heavy_walk_dirt_1	walk_ginormous_low_1	2	0	100	druidbear_neutral_1	1800													0
bighead	bighead_attack_1		0		100		bighead_cast		0	0	100	255	bighead_hit_1	bighead_death_1	2	1					heavy_walk_dirt_1		2	0	100	bighead_neutral_1	150													0
bladecreeper														bladecreeper_death_1		1																								0
bloodgolem	golemblood_attack_1		0		100		golemblood_attack_1		0		100		golemblood_hit_1	golemblood_death	0	0	golemblood_spawn				heavy_walk_dirt_1	golemblood_walk_1	2	0	100															0
bloodlord	bloodlord_attack_1	weapon_giant_1	0	4	95	255	bloodlord_attack_1	weapon_giant_1	0	6	95	255	bloodlord_hit_1	bloodlord_death_1	2	0					heavy_walk_dirt_1	walk_ginormous_high_1	2	0	100	megademon_neutral_1	150													0
bloodraven													bloodraven_hit_1	bloodraven_death	2	1	bloodraven_cast_raise				medium_walk_dirt_1		2	0	100				bloodraven_taunt_1											0
bonefetish	bonefetish_attack_1		0		100		bonefetish_attack_1		0		100		bonefetish_hit_1	bonefetish_death_1	0	0	bonefetish_raise				light_walk_dirt_1	bonefetish_walk_1	2	0	100															0
boneprison														diablo_boneprison_death_1		1																								0
bonewall													skeleton_hit_1	necromancer_bonewall_death	0	0	skeleton_raise_1																							0
brute	yeti_attack_1	weapon_kick_1	0	3	60	180	yeti_attack_1	weapon_kick_1	0	6	60	180	yeti_hit_1	yeti_death_1	2	1					heavy_walk_dirt_1		2	0	100	yeti_neutral_1	150													0
bug														creature_bug_1		0																								0
bunny														creature_rat_1		0																								0
cantor	zakarumzealot_attack_1	weapon_1hs_large_1	0	5	80	160	zakarumzealot_attack_1	weapon_1hs_large_1	0	5	80	160	zakarumpriest_hit_1	zakarumpriest_death_1	2	1	zakarumpriest_cast_1				medium_walk_dirt_1	zakarumzealot_neutral_1	2	0	10	zakarumzealot_neutral_1	300													0
catapult	catapult_attack		0		100								catapult_hit_1	catapult_death_1	2	0																								0
charsi																	charsi_work				medium_walk_dirt_1		2	0	100															0
chicken																	creature_chicken_1																							0
clawviper	serpentdemon_tail_1		0		100		serpentdemon_attack_1		3		100		serpentdemon_hit_1	serpentdemon_death_1	2	1										serpentdemon_neutral_1	150				WL	Charge	A2							0
claygolem	golemclay_attack_1		0		100		golemclay_attack_1		0		100		golemclay_hit_1	golemclay_death	0	0	golemclay_spawn				heavy_walk_dirt_1	golemclay_walk_1	2	0	100															0
compellingorb														compellingorb_death		0												compellingorb_loop												0
corruptrogue	corrupt_attack_1	weapon_1hs_large_1	5	7	70	180	corrupt_attack_1	weapon_1hs_large_1	5	7	70	180	corrupt_hit_1	corrupt_death_1	2	1					medium_walk_dirt_1		2	0	100	corrupt_neutral_1	150													0
councilmember	zakarumhigh_attack_1	weapon_1hs_large_1	0	5	80	160	zakarumhigh_attack_1	weapon_1hs_large_1	0	5	80	160	zakarumhigh_hit_1	zakarumhigh_death_1	2	1					medium_walk_dirt_1		2	0	100	zakarumhigh_neutral_1	150													0
countess	countess_attack_1	weapon_1hs_large_1	5	7	70	180	countess_attack_1	weapon_1hs_large_1	5	7	70	180	countess_hit_1	countess_death	2	1					medium_walk_dirt_1		2	0	100				countess_taunt_1											0
cow																										creature_cow_1	150													0
