code	*done	set1	val1	func1	stat1	set2	val2	func2	stat2	set3	val3	func3	stat3	set4	val4	func4	stat4	set5	val5	func5	stat5	set6	val6	func6	stat6	set7	val7	func7	stat7	*desc	*param	*min	*max	*notes	*eol
ac	1			1	armorclass																									+min-max Defense				I'm using the *desc column in a program that generates	0
ac-miss	1			1	armorclass_vs_missile																									+min-max Defense vs Missiles				html pages.  Please don't change them without care.	0
ac-hth	1			1	armorclass_vs_hth																									+min-max Defense vs Melee				The program reads through text files where these	0
red-dmg	1			1	normal_damage_reduction																									PhysDmg Reduced by min-max				properties are applied to items, and then generates web pages	0
red-dmg%	1			1	damageresist																									+min-max% Resist Phys				that describe the items.	0
ac%	1			2	item_armor_percent																									+min-max% Enhanced Defense				Each property is described by finding its description and 	0
red-mag	1			1	magic_damage_reduction																									Mag and Elem Dmg Reduced by min-max				"swapping the ""min"", ""max"", and ""param"" words for the numbers "	0
str	1			1	strength																									+min-max Strength				that were used in the min, max and param columns.	0
dex	1			1	dexterity																									+min-max Dexterity				I could have used the String table files I suppose, but this 	0
vit	1			1	vitality																									+min-max Vitality				seemed easier to me.	0
enr	1			1	energy																									+min-max Energy				none	0
mana	1			1	maxmana																									+min-max MP				none	0
mana%	1			1	item_maxmana_percent																									+min-max% MP				none	0
hp	1			1	maxhp																									+min-max HP				none	0
hp%	1			1	item_maxhp_percent																									+min-max% HP				none	0
att	1			1	tohit																									+min-max ARating				none	0
block	1			1	toblock																									+min-max% ICBlocking				none	0
cold-min	1			1	coldmindam																									+min-max to Min Cold Damage				none	0
cold-max	1			1	coldmaxdam																									+min-max to Max Cold Damage				none	0
cold-len	1			1	coldlength																									min-max/25 seconds Chill duration				none	0
fire-min	1			1	firemindam																									+min-max to Min Fire Damage				none	0
fire-max	1			1	firemaxdam																									+min-max to Max Fire Damage				none	0
ltng-min	1			1	lightmindam																									+min-max to Min Lightning Damage				none	0
ltng-max	1			1	lightmaxdam																									+min-max to Max Lightning Damage				none	0
pois-min	1			1	poisonmindam																									+min-max/256 to Min Poison Damage				none	0
pois-max	1			1	poisonmaxdam																									+min-max/256 to Max Poison Damage				none	0
pois-len	1			1	poisonlength																									min-max/25 seconds Poison duration				none	0
dmg-min	1			5																										+min-max to Min Phys Damage				none	0
dmg-max	1			6																										+min-max to Max Phys Damage				none	0
dmg%	1			7																										+min-max% Enhanced Damage				none	0
dmg-to-mana	1			1	item_damagetomana																									min-max% HP lost goes to MP				none	0
res-fire	1			1	fireresist																									+min-max% Resist Fire				none	0
res-fire-max	1			1	maxfireresist																									+min-max to Max % Resist Fire				none	0
res-ltng	1			1	lightresist																									+min-max% Resist Lightning				none	0
res-ltng-max	1			1	maxlightresist																									+min-max to Max % Resist Lightning				none	0
res-cold	1			1	coldresist																									+min-max% Resist Cold				none	0
res-cold-max	1			1	maxcoldresist																									+min-max to Max % Resist Cold				none	0
res-mag	1			1	magicresist																									+min-max% Resist Magic				none	0
res-mag-max	1			1	maxmagicresist																									+min-max to Max % Resist Magic				none	0
res-pois	1			1	poisonresist																									+min-max% Resist Poison				none	0
