Name	Rune Name	complete	server	itype1	itype2	itype3	itype4	itype5	itype6	etype1	etype2	etype3	*runes	Rune1	Rune2	Rune3	Rune4	Rune5	Rune6	T1Code1	T1Param1	T1Min1	T1Max1	T1Code2	T1Param2	T1Min2	T1Max2	T1Code3	T1Param3	T1Min3	T1Max3	T1Code4	T1Param4	T1Min4	T1Max4	T1Code5	T1Param5	T1Min5	T1Max5	T1Code6	T1Param6	T1Min6	T1Max6	T1Code7	T1Param7	T1Min7	T1Max7	eol
Runeword1	Ancient's Pledge	1		shld										r08	r09	r07				block		60	60	res-all		10	10	ac/lvl	32			hp/lvl	32			allskills		1	1	vit		15	20	res-cold		22	22	0
Runeword6	Black	1		mele	h2h	jave								r10	r16	r04				red-dmg%		10	15	dmg%		200	300	swing2		40	40	red-mag		12	12	att		200	200	crush		4	4	melee-skill	604	6	1	0
Runeword44	Fury	1		mele	h2h									r30	r25	r05				dmg%		400	500	swing2		50	50	deadly		50	50	aura	Fanaticism2	8	8	lifesteal		5	5	crush		4	4	dmg-norm		15	40	0
Runeword54	Holy Thunder	1		mele										r05	r08	r09	r07			dmg%		150	200	dmg-ltng		1	300	dmg-max		4	4	skill	118	4	4	swing2		40	40									0
Runeword55	Honor	1		mele										r11	r01	r06	r03	r12		dmg%		150	200	indestruct		1	1	allskills		1	1	att		200	200	deadly		25	25	dmg/lvl	8			swing2		50	50	0
Runeword65	King's Grace	1		mele	h2h									r11	r08	r10				dmg%		150	200	allskills		1	1	cast2		20	20	swing2		60	60	crush		4	4	gold%		40	60					0
Runeword72	Leaf	1		staf										r03	r08					fireskill		3	3	ac/lvl		16	16	res-cold		33	33	res-all		30	30	cast2		30	30	balance2		30	30	extra-fire		9	9	0
Runeword74	Lionheart	1		pelt	phlm	ashd								r15	r17	r19				red-dmg%		15	15	ac%		300	400	res-all		20	30	gethit-skill	Taunt	33	10	hp/lvl	40											0
Runeword75	Lore	1		helm										r09	r12					enr		20	20	allskills		1	1	light		2	2	mana-kill		5	5	res-all		15	15	red-mag		10	10	hp/lvl	32			0
Runeword81	Malice	1		mele	h2h									r06	r01	r05				openwounds		100	100	dmg-ac		-100	-100	noheal		1	1	dmg%		150	200	swing2		40	40	deadly		20	20					0
Runeword82	Melody	1		miss	jave	thro								r13	r18	r04				dmg%		200	300	skilltab	0	3	3	skill	9	3	3	skill	32	3	3	skill	17	3	3	swing2		40	40	extra-all		4	4	0
Runeword83	Memory	1		staf										r17	r16	r12	r05			mana%		33	33	enr		30	30	res-all		33	33	cast2		20	20	sor		4	4	extra-elem		10	10	skill	58	5	5	0
Runeword88	Nadir	1		helm										r04	r03					dex		10	10	ac%		300	400	hp/lvl	20			gethit-skill	199	6	13	gold%		50	100	red-dmg%		5	5	str		10	10	0
Runeword116	Radiance	1		helm										r04	r12	r06				allskills		1	1	enr		30	30	vit		15	25	red-mag		5	10	mana%		33	33	res-all		20	20	balance2		30	30	0
Runeword120	Rhyme	1		shld										r13	r05					block2		30	30	block		40	40	res-all		40	40	hp/lvl	32			gold%		50	100	mag%		50	50	allskills		1	1	0
Runeword126	Silence	1		weap									DolEldIstTirVex	r14	r02	r24	r03	r26		dmg%		300	350	melee-skill	608	6	1	swing2		60	60	att		200	200	res-all		40	50	allskills		3	3	balance2		20	20	0
Runeword128	Smoke	1		tors										r04	r17					ac-miss		250	250	ac%		300	400	res-all		50	50	hp/lvl	40			dex		15	15	gethit-skill	605	10	1	move2		40	40	0
Runeword133	Stealth	1		tors										r07	r05					swing2		25	25	dex		10	10	res-all		15	15	move2		25	25	hp/lvl	20			balance2		25	25					0
Runeword134	Steel	1		mele	h2h									r03	r01					swing2		30	30	dmg-norm		2	4	openwounds		50	50	dmg%		150	200													0
Runeword139	Strength	1		mele	h2h									r11	r03					str		20	20	dmg%		150	200	crush		4	4	swing2		60	60	skilltab	20	2	3	skilltab	9	2	3	skilltab	12	2	3	0
Runeword154	Venom	1		weap	h2h									r07	r14	r23				extra-pois		8	8	att		250	250	swing2		60	60	dmg%		200	300	skill	Venom	4	4	enr		20	20	allskills		2	2	0
Runeword160	Wealth	1		tors	helm									r20	r18	r03				gold%		200	200	mag%		50	50	ac%		300	400	res-all		25	25	allskills		1	1	hp/lvl	40			enr		20	20	0
Runeword162	White	1		wand	head									r14	r16					skilltab	7	4	4	red-mag		6	6	cast2		15	15	enr		15	15	skill	78	3	3	skill	67	2	2	skill	93	2	2	0
Runeword170	Zephyr	1		miss	thro	jave								r09	r05					move2		50	50	swing2		50	50	dmg%		150	200	dmg-norm		5	6	gethit-skill	611	10	10	oskill	Pierce	3	3					0
Runeword14	Bound by Duty	1		tors									ShaelBerJahShael	r13	r30	r31	r13			res-all		75	75	ac%		300	400	res-mag		20	20	all-stats		30	30	hp%		15	15	allskills		2	2	hp/lvl		40	40	0
Runeword9	Bramble	1		tors									RalOhmSurEth	r08	r27	r29	r05			balance2		100	100	cast2		30	40	allskills		2	2	hp/lvl	40			enr		40	50	move2		30	30	res-all		40	60	0
Runeword11	Breath of the Dying	1		weap									VexHelJahEthZod	r26	r15	r31	r05	r33		dmg-norm		30	90	aura	Fanaticism2	10	10	kill-skill	609	15	60	allskills		4	4	dmg%		490	510	all-stats		30	30	crush		5	5	0
Runeword13	Call to Arms			weap									AmnRalMalIstOhm	r11	r08	r23	r24	r27		skill	Prayer	4	7	skill	Holy Bolt	4	7	skill	Fanaticism2	4	7	allskills		1	1	cast2		40	60	mana%		20	30	aura	Purify2	12	15	0
Runeword17	Crescent Moon	1		h2h									ShaelUmTir	r13	r22	r03				extra-ltng		7	7	dex		10	10	dmg%		200	300	res-all		15	25	balance2		50	50	swing2		60	60	allskills		2	2	0
Runeword22	Delirium	1		helm									LemIstIo	r20	r24	r16				melee-skill	Confuse	24	18	res-all		20	30	gethit-skill	Terror	5	13	ac		200	300	gethit-skill	Mind Blast	5	30	allskills		3	3	hp/lvl	32			0
Runeword26	Doomsayer	1		mele									HelOhmUmLoCham	r15	r27	r22	r28	r32		dmg%		400	500	aura	Holy Freeze	20	20	swing2		100	100	melee-skill	601	20	50	extra-cold		14	14	allskills		2	2	crush		4	4	0
Runeword33	Enigma	1		tors									JahIthBer	r30	r06	r31				ac%		300	400	res-all		40	60	hp%		10	10	allskills		2	2	oskill	128	1	1	str		15	15	dex		25	25	0
Runeword137	Stone	1		tors									ShaelUmPulLum	r13	r22	r21	r17			ac%		300	400	gethit-skill	607	20	5	red-dmg%		20	20	hp%		15	15	str		10	10	vit		25	25	balance2		60	60	0
Runeword36	Eternity	1		mele									AmnBerIstSolSur	r11	r30	r24	r12	r29		dmg%		400	500	indestruct		1	1	slow		5	5	swing2		80	80	noheal		1	1	crush		4	4	nofreeze		1	1	0
Runeword37	Exile's Path	1		ashd									VexOhmIstDol	r26	r27	r24	r14			pal		2	2	indestruct		1	1	ac%		350	450	block		40	40	skilltab	10	3	3	red-dmg%		20	20	crush		1	1	0
Runeword39	Famine	1		mele	jave								FalOhmOrtJah	r19	r27	r09	r30			dmg%		400	500	lifesteal		5	5	swing2		100	100	allskills		3	3	deadly		33	33	openwounds		33	33	crush		4	4	0
Runeword48	Hand of Justice	1		weap									JahBerAmnLo	r31	r30	r11	r28			swing2		100	100	dmg%		400	500	aura	Holy Fire	20	20	crush		4	4	melee-skill	602	8	40	extra-fire		16	16	vit		20	20	0
Runeword51	Heart of the Oak	1		weap									KoVexPulThul	r18	r26	r21	r10			cast2		25	25	dex		5	10	enr		5	10	allskills		3	3	vit		5	10	extra-phys		10	10	res-all		30	40	0
