index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Flavie's Cloak	Forlorn Rogue	xui	Ghost Armor	7	41	46	lgry	lgry						5	2500	2	ac%		150	200	sock		3	3	res-pois		30	30	res-ltng		30	30	vit		20	20	res-mag		15	15													dmg-min		5	5					swing2		10	10																													0
Flavie's Heel	Forlorn Rogue	xvb	Sharkskin Boots	7	41	46	lgry	lgry						5	2500	2	ac%		150	200	move2		40	40	res-fire		30	30	res-cold		30	30	dex		20	20	res-mag		10	10													dmg-min		5	5					swing2		10	10																													0
Flavie's Cuff	Forlorn Rogue	8cb	Double Bow	7	41	46	lgry	lgry						5	2500	2	dmg%		300	400	swing2		30	30	sock		3	3	lifesteal		3	3	dmg/lvl		8	8																	dmg-max		20	20					swing2		20	20	allskills		1	1																									0
Warden's Fist	Warden's Watch	xtg	Battle Gauntlets	7	50	56	dred	dred						5	2500	2	ac%		150	200	str		15	15	manasteal		5	5	crush		3	3																					red-dmg%		5	5	dmg%		35	35																																	0
Wardens's Cord	Warden's Watch	zlb	Demonhide Sash	7	50	56	dred	dred						5	2500	2	ac%		150	200	vit		25	25	balance2		25	25	regen		30	30																					red-dmg%		5	5	dmg%		35	35																																	0
Arcanna's Flesh	Arcanna's Tricks	hla	Hard Leather Armor	7	2	6	lblu	lblu						5	2500	2	ac		50	100	regen-mana		20	20	res-all		15	15	cast2		10	10																					heal-kill		10	10																																					0
Arcanna's Sign	Arcanna's Tricks	vbt	Heavy Boots	7	2	7	lblu	lblu						5	2500	2	move2		30	30	res-cold		15	15	regen-mana		20	20	res-pois		15	15																					cast2		10	10																																					0
Arcanna's Deathwand	Arcanna's Tricks	sst	Short Staff	7	2	5	lblu	lblu						5	2500	2	allskills		1	1	cast2		10	10	res-fire		15	15	res-ltng		15	15																					mana-kill		10	10																																					0
AlbrechtBonds	AlbrechtAnguish	stu	Studded Leather	7	4	10	blac	blac						5	2500	2	dmg-max		3	3	vit		10	10	res-all		10	10	red-dmg		4	4																					move2		30	30																																					0
AlbrechtTorture	AlbrechtAnguish	amu	Amulet	7	4	10								5	2500	2	dmg-min		1	1	str		10	10	res-all		10	10	red-mag		2	2																					manasteal		6	6																																					0
AlbrechtTorment	AlbrechtAnguish	rin	Ring	7	4	10			albrin					5	2500	2	dmg-min		1	1	dex		10	10	res-all		10	10																									lifesteal		1	1																																					0
Infernal Cranium	Infernal Tools	cap	Cap	7	1	4	lyel	lyel						5	2500	2	res-all		15	15	dmg-to-mana		25	25	regen-mana		25	25	regen		25	25																					ac/lvl	16											allskills		1	1																									0
Infernal Torch	Infernal Tools	wnd	Wand	7	1	4	lyel	lyel						5	2500	2	nofreeze		1	1	heal-kill		15	15	mana-kill		15	15	swing2		35	35											10	10									att/lvl	20																																							0
Infernal Sign	Infernal Tools	ne1	Preserved Head	7	1	4	lyel	lyel						5	2500	2	ac%		150	200	hp		30	30	res-all		20	20	cast2		10	10					allskills		1	1													res-pois		25	25									allskills		1	1																									0
Sentinel's Visage	Sentinel's Vestments	xhl	Basinet	7	49	56	lyel	lyel						5	2500	2	ac%		300	400	res-all		15	15	red-dmg%		5	5	sock		3	3	str		15	15	hp		30	30													red-dmg%		5	5	lifesteal		2	2																																	0
Sentinel's Raiment	Sentinel's Vestments	xpl	Russet Armor	7	49	56	lyel	lyel						5	2500	2	ac%		300	400	res-all		20	20	red-dmg%		10	10	sock		3	3	vit		25	25	hp%		10	10													red-dmg%		5	5																																					0
Sentinel's Stance	Sentinel's Vestments	xmb	Mesh Boots	7	49	56	lyel	lyel						5	2500	2	ac%		300	400	res-all		10	10	crush		1	1	move2		40	40	dex		20	20	hp		30	30													red-dmg%		5	5	manasteal		5	5																																	0
Asheara's Gaze	Asheara's Rig	ci2	Tiara	7	59	65	lred	lred						5	2500	2	ac%		300	400	res-all		15	15	cast2		25	25	allskills		1	1	sock		3	3																	heal-kill		30	30																																					0
Asheara's Robe	Asheara's Rig	xtp	Mage Plate	7	59	65	lred	lred						5	2500	2	ac%		300	400	res-cold		25	25	red-mag		10	10	cast2		25	25	sock		3	3	res-ltng		25	30	allskills		1	1									regen		30	30																																					0
Tancred's Spine	Tancred's Battlegear	fld	Field Plate	7	21	28	dgld	dgld						5	2500	2	hp		60	60	str		25	25	res-all		10	10	red-dmg%		5	5	sock		2	2																	ac/lvl	18																																							0
Tancred's Hobnails	Tancred's Battlegear	tbt	Light Plate Boots	7	21	27	dgld	dgld						5	2500	2	regen-stam		30	30	dex		15	15	move2		40	40	res-all		10	10	res-mag		10	10																	str		10	10	crush		1	1																																	0
Tancred's Skull	Tancred's Battlegear	bhm	Bone Helm	7	21	27	dgld	dgld						5	2500	2	dmg%		33	33	att		66	66	res-pois		33	33	res-all		10	10																					res-all		10	10																																					0
Arctic Horn	Arctic Gear	hbw	Hunters Bow	7	1	5	lgld	lgld						5	2500	2	att%		50	50	dmg%		150	200	dex		15	15	swing2		30	30																					att/lvl	16			swing2		20	20	dmg-cold	100	20	30	dmg/lvl	2																											0
Arctic Furs	Arctic Gear	qui	Quilted Armor	7	1	3	lgld	lgld						5	2500	2	ac%		300	325	res-all		10	10	res-pois		30	30																									ac/lvl	24			move2		20	20	res-cold		15	15																													0
Arctic Binding	Arctic Gear	vbl	Light Belt	7	1	6	lgld	lgld						5	2500	2	res-cold		40	40	ac		30	30	pierce		25	25	move2		20	20																					mag%		20	20	res-pois-len		33	33	res-fire		15	15																													0
Arctic Mitts	Arctic Gear	vgl	Heavy Gloves	7	1	6	lgld	lgld						5	2500	2	hp		40	40	swing1		10	10	extra-all		3	5																									nofreeze		1	1	swing2		20	20	crush		1	1																													0
Sigon's Gage	Sigon's Complete Steel	hgl	Gauntlets	7	18	27	whit	whit						5	2500	2	str		15	15	crush		1	1	swing2		10	10	res-pois		40	40	ac%		200	250																	swing3		30	30																																					0
Sigon's Visor	Sigon's Complete Steel	ghm	Great Helm	7	18	23	whit	whit						5	2500	2	hp		60	60	ac%		200	250	res-mag		15	15	allskills		1	1																					att/lvl	16																																							0
Sigon's Shelter	Sigon's Complete Steel	gth	Gothic Plate	7	18	30	whit	whit						5	2500	2	ac%		200	250	res-fire		40	40	balance2		40	40	sock		2	2																					vit		10	10					red-dmg%		10	10																													0
Sigon's Sabot	Sigon's Complete Steel	hbt	Greaves	7	18	27	whit	whit						5	2500	2	move2		40	40	res-cold		40	40	crush		1	1	nofreeze		1	1	ac%		200	250																	att		50	50					mag%		25	25																													0
Sigon's Wrap	Sigon's Complete Steel	hbl	Plated Belt	7	18	27	whit	whit						5	2500	2	res-ltng		40	40	hp		60	60	block2		20	20	ac%		200	250																					ac/lvl	16																																							0
Civerb's Ward	Civerb's Vestments	lrg	Large Shield	7	7	13	lyel	lyel						5	2500	1	ac%		50	100	block		20	20	res-cold		16	16	block2		20	20	res-all		8	8	allskills		1	1													mana		40	40					res-pois		25	25																													0
Civerb's Icon	Civerb's Vestments	scl	Scale Mail	7	7	13	lyel	lyel						5	2500	2	regen-mana		60	60	regen		30	30	block		20	20	ac		50	100																					res-ltng		25	25					ac		50	50																													0
Civerb's Impaler	Civerb's Vestments	pil	Pilum	7	7	13	lyel	lyel						5	2500	2	dmg-max		4	4	dmg%		150	200	swing2		30	30	rep-quant	100			pierce		40	50																	dmg/lvl	2							allskills		1	1																													0
Hsarus' Iron Heel	Hsarus' Defense	mbt	Chain Boots	7	6	12	dred	dred						5	2500	2	res-fire		35	35	move2		30	30	vit		15	15	ac		25	50																					att/lvl	5																																							0
Hsarus' Iron Fist	Hsarus' Defense	buc	Buckler	7	1	4	dred	dred						5	2500	2	red-dmg		10	15	str		15	15	res-ltng		35	35	ac		25	50	block		20	20	block2		20	20													ac/lvl	5																																							0
Hsarus' Iron Stay	Hsarus' Defense	mbl	Belt	7	6	12	dred	dred						5	2500	2	res-cold		35	35	hp		25	50	dex		15	15	ac		25	50																					ac/lvl	5																																							0
Cleglaw's Tooth	Cleglaw's Brace	rin	Ring	7	4	10			clegrin					5	2500	2	att%		25	25	deadly		10	10	dmg-norm		1	2	swing2		15	15	balance2		15	15	cast2		5	5													dmg/lvl	3																																							0
Cleglaw's Claw	Cleglaw's Brace	sml	Small Shield	7	3	6	lred	lred						5	2500	2	ac		50	100	res-pois-len		75	75	res-pois		25	25					block		20	20	block2		20	20													res-all		15	15																																					0
Cleglaw's Pincers	Cleglaw's Brace	mgl	Chain Gloves	7	6	12	lred	lred						5	2500	2	knock		1	1	deadly		15	15	att		50	50	swing2		30	30	balance2		30	30	cast2		10	10	move2		30	30									att/lvl	20																																							0
Iratha's Collar	Iratha's Finery	btl	Blade Talons	7	14	22	lgry	lgry						5	2500	2	res-pois		40	40	res-pois-len		50	50	dmg%		200	300	lifesteal		4	4	ass		1	1	dmg/lvl	2															res-all		15	15																																					0
Iratha's Cuff	Iratha's Finery	tgl	Light Gauntlets	7	14	22	lgry	lgry						5	2500	2	res-cold		40	40	nofreeze		1	1	swing2		15	15	ac		50	100	balance2		30	30																	swing2		25	25																																					0
Iratha's Coil	Iratha's Finery	hlm	Helm	7	11	18	lgry	lgry						5	2500	2	res-fire		40	40	ass		1	1	mana		60	60	ac		50	100																					ac/lvl	16																																							0
Iratha's Cord	Iratha's Finery	tbl	Heavy Belt	7	17	22	lgry	lgry						5	2500	2	ac		50	100	dmg-min		2	2	dmg-max		2	2	res-ltng		40	40	pierce		25	25																	dex		5	5																																					0
Isenhart's Lightbrand	Isenhart's Armory	9bs	Battle Sword	7	47	55	lgld	lgld						5	2500	2	allskills		2	2	swing2		80	80	dmg%		350	400	sock		3	3	crush		4	4	res-mag		15	15	dmg-norm		10	30																																																	0
Isenhart's Case	Isenhart's Armory	xrs	Cuirass	7	47	55	lgld	lgld						5	2500	2	ac%		200	250	red-dmg		15	25	res-all		15	25	sock		3	3	balance2		50	50																	ac/lvl	16																																							0
Isenhart's Horns	Isenhart's Armory	xhl	Basinet	7	47	55	lgld	lgld						5	2500	2	ac%		200	250	str		15	25	red-mag		5	10	sock		3	3	crush		1	1	allskills		1	1													ac/lvl	8																																							0
Vidala's Barb	Vidala's Rig	cbw	Composite Bow	7	6	12	dgrn	dgrn						5	2500	2	dmg%		150	200	swing2		40	40					dmg-min		3	3	hit-skill	604	6	1	dmg/lvl		2	2																					dmg/lvl	2																															0
Vidala's Fetlock	Vidala's Rig	lbt	Boots	7	3	9	dgrn	dgrn						5	2500	2	stam		150	150	move3		50	50	manasteal		4	4	lifesteal		2	2	res-pois		15	25	ac		15	25													res-all		8	8																																					0
Vidala's Ambush	Vidala's Rig	lea	Leather Armor	7	6	11	dgrn	dgrn						5	2500	2					dex		15	15	res-ltng		15	25	res-fire		15	25	res-cold		15	25	ac		15	25													res-fire		24	24					ac/lvl	20																															0
Milabrega's Orb	Milabrega's Regalia	pab	Sacred Targe	7	75	88	lblu	lblu						5	2500	2	ac%		300	400	block		40	40	res-all		40	40	pal		3	3	sock		3	3	extra-mag		3	3	red-dmg%		10	10	cast2		30	30																																													0
Milabrega's Rod	Milabrega's Regalia	7qs	Seraph Rod	7	75	83	lblu	lblu						5	2500	2	pal		3	3	cast2		30	40					mana		200	200	sock		3	3	ease		-50	-50	extra-mag		4	4																																																	0
Milabrega's Diadem	Milabrega's Regalia	uhm	Spired Helm	7	75	83	lblu	lblu						5	2500	2	ac%		300	400	pal		2	2	res-all		20	20	sock		3	3	hp		200	200					ease		-50	-50	red-dmg%		10	10																																													0
