index	name	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Civerb's Vestments	Civerb's Vestments	0	16	res-all		15	15																													dex		20	20	dmg-undead		200	200	dmg-demon		200	200	allskills		2	2	res-all		15	15	swing2		30	30									0
Hsarus' Defense	Hsarus' Defense	0	12	balance2		25	25	move2		25	25																									dmg-max	0	4	4	dmg-min		4	4	nofreeze		1	1	res-all		25	25	allskills		2	2	ac		200	200	block		40	40	block2		40	40	0
Cleglaw's Brace	Cleglaw's Brace	0	12	ac		75	75	att		75	75																									ac	0	50	50	manasteal	0	8	8	crush	0	2	2	swing2		25	25	allskills		2	2	melee-skill	604	6	1	openwounds		15	15					0
Iratha's Finery	Iratha's Finery	0	22	ac		75	75	dex		10	10	move2		33	33	cast2		15	15																	res-all	0	33	33	dex	0	25	25	str		25	25	allskills		3	3	att		100	100	deadly		10	10	openwounds		15	15					0
Isenhart's Armory	Isenhart's Armory	0	55	str		15	15	vit		20	20																									allskills		2	2	res-all		25	25	cast2		15	15	block		30	30	move2		20	20	all-stats		10	10	dex		25	25					0
Vidala's Rig	Vidala's Rig	0	12	str		5	5	dex		15	15																									dmg-cold	150	10	20	dmg-min		2	2	skill	Pierce	5	5	dex		15	15	allskills		2	2	swing2		25	25	res-all		15	15					0
Milabrega's Regalia	Milabrega's Regalia	0	88	vit		40	40	res-mag		20	20	res-mag		25	25	dex		40	40																	res-all		35	35	pal		4	4	red-dmg%		10	10	hp%		5	5	move2		30	30	dmg-demon		100	100	extra-all		10	10					0
Cathan's Traps	Cathan's Traps	0	19	res-fire		15	15	res-cold		15	15	res-ltng		15	15	res-pois		15	15	res-mag		15	15													red-dmg	0	15	15	red-mag	0	10	10	res-all		25	25	cast2		25	25	mana%		25	25	allskills		3	3									0
Tancred's Battlegear	Tancred's Battlegear	0	28	dmg-ltng		1	500																													gold%	0	100	100	res-all	0	20	20	openwounds	0	50	50	manasteal	0	8	8	cast2		20	20	allskills		3	3	dmg%		50	50					0
Sigon's Complete Steel	Sigon's Complete Steel	0	27	lifesteal		3	3					ac		200	200																					res-all	0	25	25	freeze	0	1	1	red-dmg	0	12	12	red-mag	0	6	6	red-dmg%		5	5	hp		60	60	allskills		3	3					0
Infernal Tools	Infernal Tools	0	4	red-mag		4	4	mana		50	50																									move2		20	20	gold%		50	50	mag%		50	50	regen		25	25	cast2		15	15	gold%		50	50	allskills		1	1					0
Berserker's Garb	Berserker's Garb	0	27																																	res-pois-len	0	40	40	dmg-min	0	8	8	dmg-max	0	10	10	vit		30	30	red-dmg%		15	15	allskills		1	1	res-all		15	15	openwounds		50	50	0
Death's Disguise	Death's Disguise	0	17	lifesteal		3	3	openwounds		33	33																									att%	0	100	100	dmg-min	0	4	4	res-all	0	25	25	cast2		15	15	manasteal		10	10	allskills		2	2									0
Angelical Raiment	Angelical Raiment	0	17	vit		15	15	enr		15	15	dex		15	15																					res-all	0	15	15	nofreeze		1	1	mag%	0	50	50	regen-mana		20	20	allskills		2	2	dmg-undead		50	50	dmg-demon		50	50	regen		20	20	0
Arctic Gear	Arctic Gear	0	6	res-all		10	10	dex		15	15	vit		25	25																					dmg-cold	150	5	10	lifesteal	0	3	3	manasteal	0	5	5	freeze		1	1	allskills		2	2	res-all		15	15	dex		20	20	dmg-fire		5	10	0
Arcanna's Tricks	Arcanna's Tricks	0	7	mana		40	40	hp		40	40																									cast2		15	15	red-mag		3	3	res-all	0	15	15	move2		15	15	allskills		1	1	enr		25	25									0
Expansion																																																																				0
Natalya's Odium	Natalya's Odium	100	88	dex		40	40	res-mag		20	20	enr		25	25	vit		25	25																	res-all		35	35	ass		4	4	red-dmg%		10	10	lifesteal		5	5	str		40	40	hp%		5	5	dmg-demon		100	100	extra-all		10	10	0
Aldur's Watchtower	Aldur's Watchtower	100	88	att		200	200	res-mag		20	20	vit		25	25	str		40	40																	res-all		40	40	dru		4	4	hp%		10	10	lifesteal		5	5	dmg-demon		100	100	red-dmg%		10	10	extra-all		10	10					0
Immortal King	Immortal King	100	88	att		250	250	res-mag		20	20	skilltab	13	3	3	dex		25	25																	res-all		35	35	bar		4	4	lifesteal		5	5	red-dmg%		10	10	str		50	50	crush		2	2	hp%		5	5	extra-all		10	10	0
