Superunique	Name	Class	hcIdx	MonSound	Mod1	Mod2	Mod3	MinGrp	MaxGrp	EClass	AutoPos	Stacks	Replaceable	Utrans	Utrans(N)	Utrans(H)	TC	TC(N)	TC(H)	*eol
Bishibosh	Bishibosh	bishibosh	0		8	30	0	4	4	0	1	0		1	1	1	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
Bonebreak	Bonebreak	skeleton2	1		5	23	30	8	8	0	0	0		5	5	5	Act 1 Super A	Act 1 (N) Super A	Act 1 (H) Super A	0
Coldcrow	Coldcrow	coldcrow	2		30	25	6	8	8	0	1	0	1	18	18	18	Coldcrow	Coldcrow (N)	Coldcrow (H)	0
Rakanishu	Rakanishu	goatman2	3		17	6	30	7	7	0	0	0	1	29	29	29	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Treehead WoodFist	Treehead WoodFist	brute2	4		6	27	30	6	6	0	0	0	1	4	4	4	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Griswold	Griswold	griswold	5		30	25	6	0	0	0	0	0	1	17	17	17	Griswold	Griswold (N)	Griswold (H)	0
The Summoner	The Summoner	bloodorb	6		25	27	0	0	0	0	0	0		0	0	0	Act 1 Super B	Act 1 (N) Super B	Act 1 (H) Super B	0
Pitspawn Fouldog	Pitspawn Fouldog	bighead1	7		18	29	0	8	8	0	1	0		31	31	31	Act 1 Super C	Act 1 (N) Super C	Act 1 (H) Super C	0
Flamespike the Crawler	Flamespike the Crawler	quillrat4	8		9	25	0	8	8	0	0	0		16	16	16	Act 1 Super C	Act 1 (N) Super C	Act 1 (H) Super C	0
Boneash	Boneash	vampire6	9		6	5	0	6	6	0	0	0		15	15	15	Mortanius	Mortanius (N)	Mortanius (H)	0
Radament	Radament	radament	10		25	29	0	9	9	0	0	0		30	30	30	Radament	Radament (N)	Radament (H)	0
Bloodwitch the Wild	Bloodwitch the Wild	juggernaut	11		5	28	0	0	0	0	0	0		29	29	29	Juggernaut	Juggernaut (N)	Juggernaut (H)	0
Fangskin	Fangskin	cantor6	12		10	29	30	4	4	0	0	0		14	14	14	Ardual	Ardual (N)	Ardual (H)	0
Beetleburst	Beetleburst	scarab4	13		6	28	30	8	8	0	1	0	1	13	13	13	Act 2 Super B	Act 2 (N) Super A	Act 2 (H) Super A	0
Leatherarm	Leatherarm	willowisp5	14		25	29	0	2	2	0	0	0		25	25	25	Glyph2	Glyph2 (N)	Glyph2 (H)	0
Coldworm the Burrower	Coldworm the Burrower	maggotqueen1	15		30	27	0	2	2	0	0	0		13	13	13	Maggot	Maggot (N)	Maggot (H)	0
Fire Eye	Fire Eye	reanimatedhorde6	16		6	27	0	1	1	0	0	0		12	12	12	Knight	Knight (N)	Knight (H)	0
Dark Elder	Dark Elder	sandraider5	17		8	28	0	8	8	0	0	0	1	27	27	27	Act 2 Super C	Act 2 (N) Super B	Act 2 (H) Super B	0
The Countess	The Countess	countess	18	countess	6	30	15	2	2	0	0	0		0	0	0	Countess	Countess (N)	Countess (H)	0
Ancient Kaa the Soulless	Ancient Kaa the Soulless	D1DarkMage1	19		30	29	10	4	4	0	0	0		11	11	11	Act 3 Super B	Act 1 (H) Super A	Act 5 (H) Super A	0
The Smith	The Smith	smith	20	smith	5	6	7	0	0	0	0	0		26	26	26	Hammer	Hammer (N)	Hammer (H)	0
Web Mage the Burning	Web Mage the Burning	sszak	21		6	28	10	10	10	0	0	0		19	19	19	Sszak	Sszak (N)	Sszak (H)	0
Witch Doctor Endugu	Witch Doctor Endugu	chimera	22		27	29	0	6	6	0	0	0		20	20	20	Chimera	Chimera (N)	Chimera (H)	0
