Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	SumItems	TotalProb	DropChance	Term
Gold			1						gld	1																						0
Jewelry A			1						gld,mul=12000	80	rin	30	amu	25	jew	25	cm2	10	cm1	10	cm3	10										0
Jewelry B			1						gld,mul=14000	80	rin	30	amu	25	jew	25	cm2	10	cm1	10	cm3	10										0
Jewelry C			1						gld,mul=16000	80	rin	30	amu	25	jew	25	cm2	10	cm1	10	cm3	10										0
Chipped Gem	19	1	1						gcv	6	gcy	6	gcb	6	gcg	6	gcr	6	gcw	6	skc	6	1as	6	2as	3						0
Flawed Gem	19	11	1						gfv	6	gfy	6	gfb	6	gfg	6	gfr	6	gfw	6	skf	6	2as	6	3as	3	Chipped Gem	6				0
Normal Gem	19	22	1						gsv	6	gsy	6	gsb	6	gsg	6	gsr	6	gsw	6	sku	6	3as	6	4as	3	Flawed Gem	6				0
Flawless Gem	19	33	1						gzv	6	gly	6	glb	6	glg	6	glr	6	glw	6	skl	6	3as	6	4as	3	Normal Gem	6				0
Perfect Gem	19	44	1						gpv	6	gpy	6	gpb	6	gpg	6	gpr	6	gpw	6	skz	6	4as	6	5as	3	Flawless Gem	6				0
StarGem	19	55	1						g6b	6	g6v	6	g6g	6	g6r	6	g6w	6	g6y	6	sk6	6	5as	6	Perfect Gem	6						0
ArchGem	19	66	1						g7b	6	g7v	6	g7g	6	g7r	6	g7w	6	g7y	6	sk7	6	StarGem	6								0
XGem			1						g8b	6	g8v	6	g8g	6	g8r	6	g8w	6	g8y	6	sk8	6	ArchGem	6								0
Ammo			1					4	aqv	1	cqv	1																				0
Misc 0			1					80	key	10	isc	10	opl	5	gpl	5																0
Misc 1			1					80	key	10	isc	10	opm	5	gpm	5																0
Misc 2			1					80	key	10	isc	10	ops	5	gps	5																0
Hpotion 1			1						hp5	0	mp5	0																				0
Hpotion 2			1					30	hp5	0	mp5	0																				0
Hpotion 3			1					30	hp5	0	mp5	0																				0
Hpotion 4			1					30	hp5	0	mp5	0																				0
Hpotion 5			1					30	hp5	0	mp5	0																				0
Hpotion 6			1					30	hp5	0	mp5	0																				0
Hpotion 7			1					30	hp5	0	mp5	0																				0
Hpotion 8			1					30	hp5	0	mp5	0																				0
Potion 1			1					30	hp5	0	mp5	0																				0
Potion 2			1					30	hp5	0	mp5	0																				0
Potion 3			1					30	hp5	0	mp5	0																				0
Potion 4			1					30	hp5	0	mp5	0																				0
Potion 5			1					30	hp5	0	mp5	0																				0
Potion 6			1					30	hp5	0	mp5	0																				0
Potion 7			1					30	hp5	0	mp5	0																				0
Potion 8			1					30	hp5	0	mp5	0																				0
Runes 1			1						r01	3	r02	3																				0
Runes 2			1						r03	3	r04	3	Runes 1	7																		0
Runes 3			1						r05	3	r06	3	Runes 2	15																		0
Runes 4			1						r07	3	r08	3	Runes 3	20																		0
Runes 5			1						r09	3	r10	3	Runes 4	30																		0
Runes 6			1						r11	3	r12	3	Runes 5	40																		0
Runes 7			1						r13	3	r14	3	Runes 6	50																		0
Runes 8			1						r15	3	r16	3	Runes 7	60																		0
Runes 9			1						r17	3	r18	3	Runes 8	70																		0
Runes 10			1						r19	3	r20	3	Runes 9	100																		0
Runes 11			1						r21	3	r22	3	Runes 10	150																		0
Runes 12			1						r23	3	r24	3	Runes 11	200																		0
Runes 13			1						r25	3	r26	3	Runes 12	300																		0
Runes 14			1						r27	3	r28	3	Runes 13	500																		0
Runes 15			1						r29	3	r30	3	Runes 14	700																		0
Runes 16			1						r31	3	r32	2	Runes 15	900																		0
Runes 17			1						r33	1	Runes 16	1400																				0
Uber1			1					0	Demonhorn's Edge	1	Darkforge Spawn	1	Bloodraven's Charge	1	Thunderstroke	1	Fathom	1	Dragonscale	1	Shadowkiller	1	Malic's Perseverance	1	Karik's Ring	1	The Celestial Axe	1				0
Uber2			1					0	Schaefer's Hammer	1	The Grandfather	1	Windforce	1	Gutsiphon	1	Tomb Reaver	1	Azurewrath	1	Deathcleaver	1	Gargoyle's Bite	1	Amulet of Warding	1	Thinking Cap	1				0
Uber3			1					0	Gimmershred	0	Windhammer	1	Steelpillar	1	Ironward	1	Boneshade	1	Ghostflame	1	Mang Song's Lesson	1	Shackles of the Invoker	1	Blitzen	1	Executioner's Justice	1				0
Uber4			1					0	Shadowdancer	1	Tyrael's Might	1	Griffon's Eye	1	Crown of Ages	1	Spirit Ward	1	Templar's Might	1	Steelrend	1	Worldstone	1	Crackrust	1	Cassis Crista	1				0
Uber5			1					0	Bloody Dance	1	Akkhan's Riposte	1	Eclipse	1	Obfuscatory Rod	1	Inflame	1	Archangel's Refreshment	1	Raekor's Sledgehammer	1	Penumbra	1	Wyvern Fang	1	Dark Tendrils	1				0
Uber6			1					0	Aurora Borealis	1	Hunter's Gift	1	Hiberlian Vigor	1	Spirit of Arachyr	1	Atrophy	1	Danetta's Hatred	1	Hypnotic Darkness	1	Chantodo's Force	1	Cuchulain's Revenge	1	Polar Rift	1				0
Uber7			1					0	Asheara's Lambast	1	Deifrang's Form	1	Helltooth Surcoat	1	Pestilent Incantation	1	Aughild's Gait	1	Krelm's Search	1	The Shadow's Coil	1	Soldier's Barricade	1	The Dancing Serpent	1	Skull of the Wretched	1				0
Uber8			1					0	Roland's Determination	3	Demon's Aileron	3	Uber5	2	Uber6	2	Uber7	2														0
Uber Item			1					0	Uber1	3	Uber2	3	Uber3	3	Uber4	3	Uber5	1	Uber6	1	Uber7	1	Uber8	1								0
105gear1			1					0	u11	1	u18	1	u13	1	u14	1	u15	1	u16	1	u17	1	wsv	1								0
105gear2			1					0	u21	1	u20	1	u19	1	u25	1	u22	1	u23	1	pu1	1	osb	1								0
105gear3			1					0	tt1	1	tt2	1	tt3	1	tt4	1	tt5	1	bb1	1	pp1	1	asg	1								0
105gear4			1					0	sm1	1	sm2	1	sm3	1	sm4	1	sm5	1	dd1	1	nn1	1	wsv	1								0
110gear1			1					0	u12	1	pu2	1	u36	1	u26	1	u33	1	u34	1	u37	1	u38	1								0
110gear2			1					0	u27	1	u28	1	u29	1	u30	1	u31	1	u32	1	u35	1	u24	1								0
110gear3			1					0	oo1	1	oo2	1	oo3	1	oo4	1	oo5	1	oos	1	dd2	1	bb2	1								0
110gear4			1					0	ds1	1	ds2	1	ds3	1	ds4	1	ds5	1	dss	1	nn2	1	pp2	1								0
105 T4 Drops			1					0	105gear1	1	105gear2	1	105gear3	1	105gear4	1																0
110 T4 Drops			1					0	110gear1	1	110gear2	1	110gear3	1	110gear4	1																0
Act 1 Junk			1						Potion 1	8	Misc 0	4	Ammo	4																		0
Act 2 Junk			1						Act 1 Junk	2	Potion 2	8	Misc 0	4	Ammo	4																0
Act 3 Junk			1						Act 2 Junk	2	Potion 3	8	Misc 1	4	Ammo	4																0
Act 4 Junk			1						Act 3 Junk	2	Potion 4	8	Misc 1	4	Ammo	4																0
Act 5 Junk			1						Act 4 Junk	2	Potion 5	8	Misc 2	4	Ammo	4																0
Act 1 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 2 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 3 (N) Junk			1						Act 5 Junk	2	Potion 6	8	Misc 2	4	Ammo	4																0
Act 4 (N) Junk			1						Act 5 Junk	2	Potion 7	8	Misc 2	4	Ammo	4																0
Act 5 (N) Junk			1						Act 5 Junk	2	Potion 7	8	Misc 2	4	Ammo	4																0
Act 1 (H) Junk			1						Act 5 Junk	2	Potion 7	8	Misc 2	4	Ammo	4																0
Act 2 (H) Junk			1						Act 5 Junk	2	Potion 7	8	Misc 2	4	Ammo	4																0
Act 3 (H) Junk			1						Act 5 Junk	2	Potion 8	8	Misc 2	4	Ammo	4																0
Act 4 (H) Junk			1						Act 5 Junk	2	Potion 8	8	Misc 2	4	Ammo	4																0
Act 5 (H) Junk			1						Act 5 Junk	2	Potion 8	8	Misc 2	4	Ammo	4																0
Act 1 Equip A	1	0	1						weap3	7	armo3	7																				0
Act 1 Equip B	1	5	1						weap3	3	armo3	3	weap6	7	armo6	7	Act 1 Equip A	10														0
Act 1 Equip C	1	9	1						weap3	2	armo3	1	weap6	6	armo6	3	weap9	14	armo9	7	weap12	4	armo12	2	Act 1 Equip B	10						0
Act 2 Equip A	1	12	1						weap6	2	armo6	1	weap9	6	armo9	3	weap12	14	armo12	7	weap15	4	armo15	2	Act 1 Equip C	20			36	66	0.4545	0
Act 2 Equip B	1	15	1						weap9	2	armo9	1	weap12	6	armo12	3	weap15	14	armo15	7	weap18	4	armo18	2	Act 2 Equip A	40			36	96	0.625	0
Act 2 Equip C	1	18	1						weap12	2	armo12	1	weap15	6	armo15	3	weap18	14	armo18	7	weap21	4	armo21	2	Act 2 Equip B	60			36	116	0.6897	0
Act 3 Equip A	1	20	1						weap15	2	armo15	1	weap18	6	armo18	3	weap21	14	armo21	7	weap24	4	armo24	2	Act 2 Equip C	80			36	136	0.7353	0
Act 3 Equip B	1	22	1						weap18	2	armo18	1	weap21	6	armo21	3	weap24	14	armo24	7	weap27	4	armo27	2	Act 3 Equip A	100			36	236	0.8475	0
Act 3 Equip C	1	24	1						weap21	2	armo21	1	weap24	6	armo24	3	weap27	14	armo27	7	weap30	4	armo30	2	Act 3 Equip B	120			36	376	0.9043	0
Act 4 Equip A	1	26	1						weap24	2	armo24	1	weap27	6	armo27	3	weap30	14	armo30	7	weap33	4	armo33	2	Act 3 Equip C	140			33	463	0.9287	0
Act 4 Equip B	1	29	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	7	weap36	4	armo36	2	Act 4 Equip A	160			32	532	0.9398	0
Act 5 Equip A	1	32	1						weap27	2	armo27	1	weap30	6	armo30	3	weap33	14	armo33	7	weap36	8	armo36	4	Act 4 Equip B	180			41	670	0.9388	0
Act 5 Equip B	1	34	1						weap30	2	armo30	1	weap33	6	armo33	3	weap36	14	armo36	7	weap39	4	armo39	2	Act 5 Equip A	200			35	766	0.9543	0
Act 5 Equip C	1	36	1						weap30	2	armo30	1	weap33	6	armo33	3	weap36	14	armo36	7	weap39	8	armo39	4	Act 5 Equip B	210			35	868	0.9597	0
