index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gnasher	0	1		1	1	1	6	hax	Hand Axe			5	5000	dyel			invhaxu				dmg%		150	200	swing2		30	30	noheal		1	1	str		6	6	openwounds		50	50	dmg-norm		2	3																									0
Deathspade	0	1		1	1	7	12	axe	Axe			5	5000	dgld			invaxeu				dmg%		120	150	mana-kill		5	10	att%		50	50	deadly		25	25	dmg-min		8	8	sock		2	2																									0
Bladebone	0	1		1	1	15	20	2ax	Double Axe			5	5000	lgry	lgry						dmg%		150	200	swing2		60	60	att-undead		80	80	ac		50	50	dmg-fire		38	46	dmg-undead		200	200	dmg-norm		4	8	sock		2	2	crush		2	2													0
Mindrend	0	1		1	1	19	24	mpi	Military Pick			5	5000	lgrn			invmpiu				dmg%		150	200	dmg-ltng		1	200	att		50	100	regen-mana		20	20	openwounds		25	25	dmg-norm		4	8	sock		2	2	swing2		80	80																	0
Rakescar	0	1		1	1	25	30	wax	War Axe			5	5000	dgry	dgry						dmg%		150	200	swing2		40	40	att		100	200	allskills		1	1	crush		2	2	res-pois		50	50	deadly		25	25	sock		2	2	dmg-norm		4	8													0
Fechmars Axe	0	1		1	1	4	9	lax	Large Axe			5	5000					ltngskill			dmg%		150	200	swing2		80	80	res-cold		50	50	openwounds		25	25	dmg-cold	25	8	12	freeze		3	3																									0
Goreshovel	0	1		1	1	10	15	bax	Broad Axe			5	5000	dred	dred						dmg%		150	200	swing2		80	80	openwounds		60	60	dmg-max		13	13	deadly		25	25																													0
The Chieftan	0	1		1	1	15	20	btx	Battle Axe			5	5000	oran			invbtxu				dmg%		150	200	swing2		80	80	heal-kill		30	30	dmg-ltng		1	150	oskill	162	10	15	res-all		10	20																									0
Brainhew	0	1		1	1	23	28	gax	Great Axe			5	5000	whit			invgaxu				dmg%		150	200	swing2		80	80	dmg-fire		90	210	dmg-min		8	8	melee-skill	604	6	1	lifesteal		5	5	crush		3	3																					0
The Humongous	0	1		1	1	30	35	gix	Giant Axe			5	5000	blac	blac						dmg%		150	200	swing2		80	80	dmg-max		15	25	dmg-min		8	8	allskills		1	1	str		20	30	ease		20	20																					0
Iros Torch	0	1		1	1	1	5	wnd	Wand			5	5000	cred			invwndu				nec		1	1	dmg-fire		24	48	light		5	5	enr		10	20	regen-mana		10	10	lifesteal		6	6	skill	Clay Golem	3	4																					0
Maelstromwrath	0	1		1	1	11	16	ywn	Yew Wand			5	5000	dblu	dblu						nec		1	1	cast2		20	20	mana		30	40	res-ltng		40	40	skill	Raise Skeleton	3	4	skill	Raise Skeletal Mage	3	4	gethit-skill	611	10	5																					0
Gravenspine	0	1		1	1	23	28	bwn	Bone Wand			5	5000	cgrn			invbwnu				nec		2	2	skill	91	3	4	nofreeze		1	1	str		10	10	dex		10	10	gethit-skill	601	10	30	mana		25	50																					0
Umes Lament	0	1		1	1	35	40	gwn	Grim Wand			5	5000	lblu	lblu						nec		4	4	cast2		15	15	enr		20	30	skilltab	6	3	4	hp		100	200	mana		100	200	mana-kill		12	12	heal-kill		24	24					reanimate	2	6	6	res-all		10	15					0
Felloak	0	1		1	1	1	4	clb	Club			5	5000	lgry			invclbu				dmg%		100	150	knock		1	1	dmg-fire		12	18	res-fire		20	20	dmg-ltng		1	32	res-ltng		60	60	swing2		60	60	sock		2	2																	0
Knell Striker	0	1		1	1	3	8	scp	Scepter			5	5000	dred	dred						dmg%		100	150	swing2		10	10	res-pois		20	30	mana		40	80	res-fire		20	30	dmg-undead		200	200	crush		1	1	magskill		1	1	sock		2	2													0
Rusthandle	0	1		1	1	15	20	gsc	Grand Scepter			5	5000	lgld	lgld						pal		2	2	cast2		10	10	red-mag		5	5	enr		10	10					sock		2	2	ac/lvl	8																							0
Stormeye	0	1		1	1	25	30	wsp	War Scepter			5	5000	cred	cred						dmg%		150	200	swing2		20	20	dmg-ltng		1	500	dmg-cold	150	100	200	dmg-fire		100	200	dmg-norm		4	7	skill	121	2	3	dmg-undead		200	200	dmg-demon		200	200	skilltab	9	3	4									0
Stoutnail	0	1		1	1	1	6	spc	Spiked Club			5	5000	dgry			invspcu				dmg%		100	150	vit		10	10	red-dmg		8	8	ignore-ac		1	1	MonThorns		7	12	swing2		80	80	sock		1	1																					0
Crushflange	0	1		1	1	3	8	mac	Mace			5	5000	blac	blac						dmg%		150	200	skill	131	5	5	crush		3	3	str		10	15	res-fire		50	50	sock		2	2																									0
Bloodrise	0	1		1	1	14	19	mst	Morning Star			5	5000	lblu			invmstu				dmg%		150	200	swing2		20	20	skill	96	3	3	lifesteal		5	5	att%		50	50	openwounds		25	25	light		2	2																					0
The Generals Tan Do Li Ga	0	1		1	1	19	24	fla	Flail			5	5000	dblu	dblu						dmg%		150	200	swing2		20	20	manasteal		6	6	dmg-norm		2	13	slow		5	5	ac		25	25																									0
Ironstone	0	1		1	1	25	30	whm	War Hammer			5	5000	cblu	cblu						dmg%		150	200	att		250	300	dmg-ltng		1	500	str		30	30	deadly		15	20	sock		2	2	crush		4	4																					0
Bonesob	0	1		1	1	23	28	mau	Maul			5	5000	lred			invmauu				dmg%		150	200	crush		5	5	res-fire		40	40	res-cold		40	40	dmg-undead		300	400	str		10	20	sock		2	2																					0
Steeldriver	0	1		1	1	30	35	gma	Great Maul			5	5000	cgrn	cgrn		invgma				dmg%		150	200	swing2		60	60	ignore-ac		1	1	allskills		1	1	red-dmg%		15	15	crush		4	4	skill	131	2	4	sock		2	2																	0
