name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem
Hand Axe	axe		hax	hax	hax	0		1	1	3	6								1		250		10		250		3	0	1050	3150			hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9ha	7ha	1	0
Axe	axe		axe	axe	axe	0		1	1	4	9								1	10	250		18		250		7	7	1950	5850			axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9ax	7ax	1	0
Double Axe	axe		2ax	axe	2ax	0		1	1	7	10								1	20	250		32		250		13	13	2350	7050			axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	10					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	92a	72a	1	0
Military Pick	axe		mpi	axe	mpi	0		1	1	7	11								1	-10	250		42		250		19	19	2750	8250			axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255	1	1	1	1	10					255					255					255					255					255					255			1	1	20					255					255					255					255					255					255			1	2	0	9mp	7mp	1	0
War Axe	axe		wax	axe	wax	0		1	1	9	14								2		250		58		250		25	25	3200	9600			axe	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	5	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	2	0	9wa	7wa	1	0
Large Axe	2Axe		lax	lax	lax	0		1	1				1	5	9				3	-10	350		20		250		6	6	2390	7170			lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3			1	1	5	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9la	7la	1	0
Broad Axe 	2Axe		bax	lax	bax	0		1	1				1	8	13				3		350		32		250		10	10	2910	8730			lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255					255			1	2	0	9ba	7ba	1	0
Battle Axe	2Axe		btx	btx	btx	0		1	1				1	10	20				3	10	350		44		250		16	16	3430	10290			lax	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	5	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	10					255					255					255					255					255			1	1	10					255					255					255					255					255					255					255			1	2	0	9bt	7bt	1	0
Great Axe	2Axe		gax	btx	gax	0		1	1				1	11	24				3	-10	350		56		250		22	22	3950	11850			lax	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255			1	1	10					255					255					255					255					255					255			1	1	20					255					255					255					255					255					255			1	2	0	9ga	7ga	1	0
Giant Axe	2Axe		gix	gix	gix	0		1	1				1	13	27				3	10	350		72		250		28	28	4665	13995			lax	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					255					255					255					255					255					255			1	2	20					255					255					255					255					255					255					255					255					255					255			1	2	0	9gi	7gi	1	0
