Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Fletcher's	100	1	1	1	50	15			3	300	skilltab	0	1	1											armo	weap									0	0	0
Bowyer's	100	1	1	40	95	30			2	300	skilltab	0	2	2											armo	weap									0	0	0
Archer's	100	1	1	60		45			1	300	skilltab	0	3	3											armo	weap									0	0	0
Acrobat's	100	1	1	1	50	15			3	301	skilltab	1	1	1											armo	weap									0	0	0
Gymnast's	100	1	1	40	95	30			2	301	skilltab	1	2	2											armo	weap									0	0	0
Athlete's	100	1	1	60		45			1	301	skilltab	1	3	3											armo	weap									0	0	0
Harpoonist's	100	1	1	1	50	15			3	302	skilltab	2	1	1											armo	weap									0	0	0
Spearmaiden's	100	1	1	40	95	30			2	302	skilltab	2	2	2											armo	weap									0	0	0
Lancer's	100	1	1	60		45			1	302	skilltab	2	3	3											armo	weap									0	0	0
of the Jackal	100	1	1	1		3			6	303	hp		1	5											armo	weap									0	0	0
of the Fox	100	1	1	11		8			5	303	hp		6	10											armo	weap									0	0	0
of the Wolf	100	1	1	27		20			4	303	hp		11	20											armo	weap									0	0	0
of the Tiger	100	1	1	43		35			3	303	hp		21	30											armo	weap									0	0	0
of the Mammoth	100	1	1	59		51			2	303	hp		31	40											armo	weap									0	0	0
of the Colossus	100	1	1	75		67			1	303	hp		41	60											armo	weap									0	0	0
Lizard's	100	1	1	3		2			4	303	mana		1	5											armo	weap									0	0	0
Snake's	100	1	1	12		9			3	303	mana		5	10											armo	weap									0	0	0
Serpent's	100	1	1	23		16			2	303	mana		11	20											armo	weap									0	0	0
Drake's	100	1	1	34		26			2	303	mana		21	30									1	cblu	armo	weap									0	0	0
Dragon's	100	1	1	45		37			1	303	mana		31	40									1	cblu	armo	weap									0	0	0
Wyrm's	100	1	1	56		48			1	303	mana		41	60									1	cblu	armo	weap									0	0	0
Great Wyrm's	100	1	1	67		59			1	303	mana		61	80									1	cblu	armo	weap									0	0	0
Shimmering	100	1	1	1	30	3			8	304	res-all		10	15											armo	weap									0	0	0
Rainbow	100	1	1	18	42	13			7	304	res-all		15	20											armo	weap									0	0	0
Scintillating	100	1	1	28	50	21			6	304	res-all		20	25											armo	weap									0	0	0
Prismatic	100	1	1	39	95	31			5	304	res-all		25	30											armo	weap									0	0	0
Chromatic	100	1	1	50		42			4	304	res-all		30	40											armo	weap									0	0	0
Sharp	100	1	1	10	23	5			3	304	att		40	60	dmg%		20	30							armo	weap									0	0	0
Fine	100	1	1	18	34	13			3	304	att		60	80	dmg%		30	40							armo	weap									0	0	0
Warrior's	100	1	1	30	42	23			2	304	att		80	100	dmg%		40	50							armo	weap									0	0	0
Soldier's	100	1	1	42	95	34			2	304	att		100	150	dmg%		50	60							armo	weap									0	0	0
Knight's	100	1	1	50		42			2	304	att		150	200	dmg%		51	65					1	dgld	armo	weap									0	0	0
of Blight	100	1	1	1		3			3	305	pois-min		12	12	pois-max		24	24	pois-len		75	75			armo	weap									0	0	0
of Venom	100	1	1	15		11			2	305	pois-min		24	24	pois-max		48	48	pois-len		75	75			armo	weap									0	0	0
of Pestilence	100	1	1	25		18			2	305	pois-min		48	48	pois-max		72	72	pois-len		100	100			armo	weap									0	0	0
of Anthrax	100	1	1	33		25			2	305	pois-min		72	72	pois-max		128	128	pois-len		100	100			armo	weap									0	0	0
sock0	100	1	1	1		1			12	310															weap	armo									0	0	0
sock1	100	1	1	1		1			1	310	sock	1	1	1											weap	armo									0	0	0
sock2	100	1	1	1		1			1	310	sock	2	2	2											weap	armo									0	0	0
sock3	100	1	1	1		1			1	310	sock	3	3	3											weap	armo									0	0	0
sock4	100	1	1	1		1			1	310	sock	4	4	4											weap	armo									0	0	0
Jav1	100	1	1	1	50	15			3	321	skilltab	2	1	1	rep-quant	100			pierce		30	40			armo	weap									0	0	0
Jav2	100	1	1	40	95	30			2	321	skilltab	2	2	2	rep-quant	100			pierce		30	40			armo	weap									0	0	0
Jav3	100	1	1	60		45			1	321	skilltab	2	3	3	rep-quant	100			pierce		30	40			armo	weap									0	0	0
Replenish	100	1	1	1		1			1	320	rep-quant	100			pierce		40	50							weap										0	0	0
xbowpierce	100	1	1	1		1			1	322	pierce		30	40											armo	weap									0	0	0
arrow and bolts	100	1	1	1		1			1	323	rep-quant	100													bowq	xboq									0	0	0
Harpoonist's	100	1	1	1	50	1			3	324	skilltab	2	1	1											weap										0	0	0
Spearmaiden's	100	1	1	40	95	30			2	324	skilltab	2	2	2											weap										0	0	0
Lancer's	100	1	1	60		45			1	324	skilltab	2	3	3											weap										0	0	0
Barb1	100	1	1	1	50	1			3	325	skilltab	14	1	1											armo										0	0	0
Barb2	100	1	1	45	95	45			2	325	skilltab	14	2	2											armo										0	0	0
Barb3	100	1	1	60		60			1	325	skilltab	14	3	3											armo										0	0	0
Barb4	100	1	1	1	50	1			3	325	att%		31	40	dmg%		31	40							armo										0	0	0
Barb5	100	1	1	30	95	30			2	325	att%		41	50	dmg%		41	50							armo										0	0	0
Barb6	100	1	1	45		45			1	325	att%		51	60	dmg%		51	65							armo										0	0	0
