Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	3	90	190	3	90	190	48	68	324	48	61	324	10	1200	6950	10	1200	6950	10	40	100	10	40	100	45	117	176	45	117	176
2	6	108	208	6	108	208	72	102	381	72	92	381	20	1200	6950	20	1200	6950	10	40	100	10	40	100	53	137	205	53	137	205
3	8	119	226	8	119	226	104	146	438	104	131	438	30	1200	6950	30	1200	6950	10	40	100	10	40	100	60	155	233	60	155	233
4	13	130	243	13	130	243	121	170	495	121	153	495	40	1200	6950	40	1200	6950	11	40	100	11	40	100	71	176	263	71	176	263
5	19	140	261	19	140	261	138	194	552	138	175	552	50	1200	6950	50	1200	6950	11	40	100	11	40	100	83	195	293	83	195	293
6	24	151	278	24	151	278	156	219	609	156	197	609	60	1200	6950	60	1200	6950	11	40	100	11	40	100	98	214	321	98	214	321
7	29	162	296	29	162	296	173	243	666	173	219	666	70	1200	6950	70	1200	6950	12	40	100	12	40	100	113	234	351	113	234	351
8	34	173	314	34	173	314	190	267	723	190	241	723	80	1200	6950	80	1200	6950	12	40	100	12	40	100	128	254	380	128	254	380
9	38	184	331	38	184	331	207	292	780	207	262	780	90	1200	6950	90	1200	6950	12	40	100	12	40	100	143	272	409	143	272	409
10	43	194	349	43	194	349	225	316	837	225	284	837	100	1200	6950	100	1200	6950	13	40	100	13	40	100	158	301	452	158	301	452
11	48	205	366	48	205	366	242	340	894	242	306	894	120	1200	6950	120	1200	6950	13	40	100	13	40	100	180	330	495	180	330	495
12	53	216	384	53	216	384	259	365	951	259	328	951	140	1200	6950	140	1200	6950	13	40	100	13	40	100	203	362	542	203	362	542
13	58	227	402	58	227	402	276	389	1008	276	350	1008	160	1200	6950	160	1200	6950	14	40	100	14	40	100	225	400	600	225	400	600
14	62	238	419	62	238	419	294	413	1065	294	372	1065	180	1200	6950	180	1200	6950	14	40	100	14	40	100	248	438	657	248	438	657
15	67	248	437	67	248	437	311	437	1122	311	394	1122	200	1200	6950	200	1200	6950	15	40	100	15	40	100	270	483	725	270	483	725
16	72	259	454	72	259	454	328	462	1179	328	416	1179	220	1200	6950	220	1200	6950	15	40	100	15	40	100	293	531	797	293	531	797
17	77	270	472	77	270	472	346	486	1236	346	437	1236	240	1200	6950	240	1200	6950	16	40	100	16	40	100	315	584	877	315	584	877
18	82	281	490	82	281	490	363	510	1293	363	459	1293	260	1200	6950	260	1200	6950	16	40	100	16	40	100	345	643	965	345	643	965
19	86	292	507	86	292	507	380	535	1350	380	481	1350	280	1200	6950	280	1200	6950	17	40	100	17	40	100	375	707	1060	375	707	1060
20	91	302	525	91	302	525	397	559	1407	397	503	1407	300	1200	6950	300	1200	6950	17	40	100	17	40	100	413	776	1165	413	776	1165
21	96	313	542	96	313	542	415	583	1464	415	525	1464	320	1200	6950	320	1200	6950	18	40	100	18	40	100	450	854	1282	450	854	1282
22	101	324	560	101	324	560	432	608	1521	432	547	1521	340	1200	6950	340	1200	6950	18	40	100	18	40	100	488	915	1373	488	915	1373
23	106	335	578	106	335	578	449	632	1578	449	569	1578	360	1200	6950	360	1200	6950	19	40	100	19	40	100	525	979	1469	525	979	1469
24	110	346	595	110	346	595	467	656	1635	467	590	1635	380	1200	6950	380	1200	6950	19	40	100	19	40	100	563	1048	1572	563	1048	1572
25	115	356	613	115	356	613	484	680	1692	484	612	1692	400	1200	6950	400	1200	6950	20	40	100	20	40	100	600	1121	1681	600	1121	1681
26	120	367	630	120	367	630	501	705	1749	501	634	1749	420	1200	6950	420	1200	6950	21	40	100	21	40	100	638	1199	1798	638	1199	1798
27	125	378	648	125	378	648	518	729	1806	518	656	1806	440	1200	6950	440	1200	6950	22	40	100	22	40	100	675	1282	1923	675	1282	1923
28	130	389	666	130	389	666	536	753	1863	536	678	1863	460	1200	6950	460	1200	6950	23	40	100	23	40	100	713	1374	2061	713	1374	2061
29	134	400	683	134	400	683	553	778	1920	553	700	1920	480	1200	6950	480	1200	6950	24	40	100	24	40	100	750	1469	2203	750	1469	2203
30	139	410	701	139	410	701	570	802	1977	570	722	1977	520	1200	6950	520	1200	6950	25	40	100	25	40	100	806	1573	2360	806	1573	2360
31	144	421	718	144	421	718	588	826	2034	588	744	2034	560	1200	6950	560	1200	6950	26	40	100	26	40	100	863	1681	2522	863	1681	2522
32	149	432	736	149	432	736	605	851	2091	605	765	2091	600	1200	6950	600	1200	6950	27	40	100	27	40	100	919	1799	2699	919	1799	2699
33	154	443	754	154	443	754	622	875	2148	622	787	2148	640	1200	6950	640	1200	6950	28	40	100	28	40	100	975	1926	2889	975	1926	2889
