Id	prop1	chance1	par1	min1	max1	prop2	chance2	par2	min2	max2	prop3	chance3	par3	min3	max3	prop4	chance4	par4	min4	max4	prop5	chance5	par5	min5	max5	prop6	chance6	par6	min6	max6	prop1 (N)	chance1 (N)	par1 (N)	min1 (N)	max1 (N)	prop2 (N)	chance2 (N)	par2 (N)	min2 (N)	max2 (N)	prop3 (N)	chance3 (N)	par3 (N)	min3 (N)	max3 (N)	prop4 (N)	chance4 (N)	par4 (N)	min4 (N)	max4 (N)	prop5 (N)	chance5 (N)	par5 (N)	min5 (N)	max5 (N)	prop6 (N)	chance6 (N)	par6 (N)	min6 (N)	max6 (N)	prop1 (H)	chance1 (H)	par1 (H)	min1 (H)	max1 (H)	prop2 (H)	chance2 (H)	par2 (H)	min2 (H)	max2 (H)	prop3 (H)	chance3 (H)	par3 (H)	min3 (H)	max3 (H)	prop4 (H)	chance4 (H)	par4 (H)	min4 (H)	max4 (H)	prop5 (H)	chance5 (H)	par5 (H)	min5 (H)	max5 (H)	prop6 (H)	chance6 (H)	par6 (H)	min6 (H)	max6 (H)	*eol
baboon6	fade			1	1																										fade			1	1																										fade			1	1																										0
irongolem	fade			16	16																										fade			16	16																										fade			16	16																										0
mephisto	gethit-hurt		438	6	40						gethit-hurt		332	8	40	gethit-hurt		265	6	40	gethit-hurt		504	2	1						gethit-hurt		438	8	40	gethit-hurt		504	2	1	gethit-hurt		332	10	40	gethit-hurt		265	6	40	gethit-hurt		659	100	1						gethit-hurt		438	10	40	gethit-hurt		659	100	1	gethit-hurt		332	12	40	gethit-hurt		265	6	40	gethit-hurt		504	2	1	gethit-hurt		494	12	40	0
councilmember1	gethit-hurt		530	8	20	gethit-hurt		362	8	20																					gethit-hurt		530	9	20	gethit-hurt		362	9	20	cast2			50	50	gethit-hurt		414	6	20											gethit-hurt		530	9	20	gethit-hurt		362	9	20	cast2			100	100	gethit-hurt		414	7	20											0
councilmember2	gethit-hurt		542	10	20	gethit-hurt		249	16	20																					gethit-hurt		542	10	20	gethit-hurt		249	16	20	cast2			50	50	gethit-hurt		440	6	20											gethit-hurt		542	10	20	gethit-hurt		249	16	20	cast2			100	100	gethit-hurt		440	7	20											0
councilmember3	gethit-hurt		363	8	20	gethit-hurt		540	10	20																					gethit-hurt		363	9	20	gethit-hurt		540	11	20	cast2			50	50	gethit-hurt		411	6	20											gethit-hurt		363	9	20	gethit-hurt		540	12	20	cast2			100	100	gethit-hurt		411	7	20											0
councilmember4	gethit-hurt		332	8	20	gethit-hurt		468	8	20	cast2			50	50																gethit-hurt		332	9	20	gethit-hurt		468	9	20	cast2			50	50																gethit-hurt		332	9	20	gethit-hurt		468	9	20	cast2			100	100																0
councilmember5	gethit-hurt		271	8	20	gethit-hurt		360	8	20	gethit-hurt		310	5	20	hit-skill		54	15	1	cast2			50	50	extra-mag			-66	-66	gethit-hurt		271	9	20	gethit-hurt		360	9	20	gethit-hurt		310	20	20	hit-skill		54	15	1	gethit-hurt		623	3	20						gethit-hurt		271	9	20	gethit-hurt		360	9	20	gethit-hurt		310	5	5	hit-skill		54	15	1	gethit-hurt		623	3	20	cast2			100	100	0
councilmember6	gethit-hurt		265	5	20	gethit-hurt		491	8	5	gethit-hurt		490	5	5	crush			10	10	aura		621	10	10	cast2			25	25	gethit-hurt		265	6	20	gethit-hurt		491	9	5	gethit-hurt		490	5	5	crush			10	10	aura		621	20	20	cast2			25	25	gethit-hurt		265	7	20	gethit-hurt		491	9	5	gethit-hurt		490	5	5	crush			10	10	aura		621	30	30	cast2			100	100	0
baalhighpriest																																																																																											0
