skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	ListPool	IconCel	str name	str short	str long	str alt	str mana	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	eol
attack	0	0	0	0	0	2	skillname0	skillsd0	skillld0	skillan0		1												2																																																																																									0
kick	0	0	0	-1	0	0	skillname1	skillsd1	skillld1	skillan1		2																																																																																																					0
throw	0	-3	0	0	0	6	skillname2	skillsd2	skillld2	skillan2		3												3																																																																																									0
unsummon	0	-2	0	0	0	4	skillname3	skillsd3	skillld3	skillan3																																																																																																							0
left hand throw	0	-1	0	0	0	12	skillname4	skillsd4	skillld4	skillan4		4												4																																																																																									0
left hand swing	0	0	0	-1	0	10	skillname5	skillsd5	skillld5	skillan5																																																																																																							0
magic arrow	1	1	4	1	0	0	skillname6	skillsd6	skillld6	skillan6	StrSkill3	5												1				1			10		11					10					9															72	WeapDamsk		2	3	66	maxmissile		par4		7	StrSkill9		clc1		66	Convphy2elemalt		50		40	Sksyn	skillname6	2		63	skillname32	Magdplev	par8		71	skillname6	Missplev4	par2		71	skillname12	Missplev4	par3		18	energysyn														0
fire arrow	1	1	6	1	0	2	skillname7	skillsd7	skillxld7	skillan7	StrSkill3	5												1				1					11					10					9															72	WeapDamsk		2	3	66	maxmissile		par4		7	StrSkill9		clc1		66	Convphy2fire		50		40	Sksyn	skillname7	2		63	skillname27	Firedplev	par8		63	skillname16	Firedplev	par8		71	skillname7	Missplev4	par2		71	skillname12	Missplev4	par3		18	energysyn									0
inner sight	2	1	2	2	0	4	skillname8	skillsd8	skillld8	skillan8	StrSkill3																	1					12	StrSkill20		len		63	PhysRes	space	ast2		3	StrSkill25	percent	ast1		2	magresconv	percent	clc1							19	StrSkill18		rng		18	5levelmax														40	Sksyn	skillname8	2		64	skillname8	pmagplev	1	2	64	skillname8	pphysplev	1	2																					0
critical strike	2	5	6	2	0	6	skillname9	skillsd9	skillld9	skillan9	StrSkill3																	51	eskillincasemasteryX		pst1		2	StrSkill22	percent	pst3		2	StrSkill4	percent	clc1																																					40	Sksyn	skillname9	2		63	skillname9	Damplev	25		63	skillname9	critplev	2																						0
jab	3	1	4	3	0	8	skillname10	skillsd10	skillld10	skillan10	StrSkill3	7	clc1											1				1					2	StrSkill22	percent	toht		2	StrSkill4	percent	clc1																	25	StrSkill61																			40	Sksyn	skillname10	2		63	skillname10	Damplev	25																											0
cold arrow	1	1	2	1	0	10	skillname11	skillsd11	skillld11	skillan11	StrSkill3	5												1				1					31	StrSkill13		edln		10					9															72	WeapDamsk		2	3	66	maxmissile		par4		7	StrSkill9		clc1		66	Convphy2cold		50		40	Sksyn	skillname11	2		63	skillname21	Colddplev	par8		63	skillname31	Colddplev	par8		71	skillname11	Missplev4	par2		71	skillname12	Missplev4	par3		18	energysyn									0
multiple shot	1	3	4	1	0	12	skillname12	skillsd12	skillld12	skillan12	StrSkill3	5												1	multipleshotarrow			1					7	StrSkill9		((par1 + (lvl-1)/par2) >= par5) ? 0 : clc1		2	StrSkill22	percent	toht		72	WeapDamsk		2	3											18	10levels									7	StrSkill9		((par1 + (lvl-2)/par2) >= par5) ? clc1 : 0		66	Missplev5		5																																					0
dodge	2	3	4	2	0	14	skillname13	skillsd13	skillld13	skillan13	StrSkill3																	7	StrSkill24		pst1																																										18	10levels				40	Sksyn	skillname13	2		63	skillname13	skillname13	2																											0
power strike	3	3	6	3	0	16	skillname14	skillsd14	skillld14	skillan14	StrSkill3	17												1				1					2	StrSkill22	percent	toht		14					9					3	StrSkill72	StrPC	((par1 + (lvl-1)/par2) >= par3) ? 0 : clc1																	3	StrSkill72	StrPC	((par1 + (lvl-2)/par2) >= par3) ? clc1 : 0		66	Missplev3		par2		40	Sksyn	skillname14	2		63	skillname15	Poisdplev	par8		63	skillname25	Poisdplev	par8		18	energysyn																			0
poison javelin	3	5	6	3	0	18	skillname15	skillsd15	skillld15	skillan15	StrSkill3	22												1				1					14																																													40	Sksyn	skillname15	2		63	skillname14	Poisdplev	par8		63	skillname25	Poisdplev	par8		18	energysyn																			0
exploding arrow	1	5	6	1	0	20	skillname16	skillsd16	skillxld16	skillan16	StrSkill3	6												1				1					11					10					9															19	StrSkill18		par1																	40	Sksyn	skillname16	2		63	skillname27	Firedplev	par8		63	skillname7	Firedplev	par8		18	energysyn																			0
slow missiles	2	5	2	2	0	22	skillname17	skillsd17	skillld17	skillan17	StrSkill3																	1					12	StrSkill20		len		3	StrSkill54	percent	clc4		3	StrSkill67	percent	ast1												19	StrSkill18		rng		18	5levelmax																																																	0
avoid	2	5	4	2	0	24	skillname18	skillsd18	skillld18	skillan18	StrSkill3																	7	StrSkill24		pst1																																															40	Sksyn	skillname18	2		63	skillname18	skillname18	1																											0
impale	3	5	4	3	0	26	skillname19	skillsd19	skillld19	skillan19	StrSkill3	7	clc1											1				1					2	StrSkill22	percent	toht		3	StrSkill65	percent	clc2		12	StrSkill20		(len == (par7-20*5)) ? 0 : len		2	StrSkill4	percent	clc1							2	DefPenDesc	StrSkill23	ast1		72	WeapDamsk		5	4	12	StrSkill20		(len == (par7-20*5)) ? len : 0		66	Convphy2elemalt		clc4		40	Sksyn	skillname19	2		63	skillname19	Damplev	25		63	skillname19	TotalDef	par7																						0
lightning bolt	3	3	2	3	0	28	skillname20	skillsd20	skillld20	skillan20	StrSkill3	21																1					11					10					9					8																									66	Convphy2magalt		100		40	Sksyn	skillname20	2		63	skillname24	Ltngdplev	par8		63	skillname35	Ltngdplev	par8		18	energysyn																			0
