skill	Id	charclass	skilldesc	srvstfunc	srvdofunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	auratgtevent	auratgteventfunc	passivestate	passiveitype	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passiveevent	passiveeventfunc	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	delay	leftskill	repeat	checkfunc	nocostinstate	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	passive	progressive	general	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add
Attack	0		attack	1	1																																																																																						1	1																		0		both		weap			tpot							A1	A1	A1				1		1	1								1											1									1					1		1				0	8	0	0	1					1			1								((ulvl)/2+5+(ulvl*ulvl)/40) * par4 / 100	Standard Monster Damage		(lvl>40) ? (Act Boss) : ((lvl>20) ? (Boss) : (Trash))					100	%Damage monsters should do (80=Solo, 100=Reg)	400	%TrashDamage (i.e. clc4) Trash should do	1350	%Damage Sub Bosses do	1530	%Damage Act Bosses do			1								8	128																																				0
Kick	1		kick	2	2																																																																																						0	0																		0		h2h	4											KK	KK	xx						1	1							1												1																				0	8	0	0									1		(ulvl>40)?(ulvl*5-200):0	spell scaling	(100+stat('passive_summlife'.acc))/100	summlife	stat('energy'.accr)/4	skill damage syngergy +energy	((100+stat('passive_mag_mastery'.accr)) * (100+((skill('Blessed Hammer'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100								33	Max% CastingDelay Reduced (for players). ~33%									1							1	8																																					0
Throw	2		throw	65	3																																																																																						2	2																		0		rng		thro										TH	TH	xx				1																						1														1		2				0	8	0	0	1								1																										1								8	128																																				0
Unsummon	3		unsummon	3	4																																																																																						3	0																		0		rng												SC	SC	xx						1						1														1									1											0	8	0	0	1	1							1																										1								8																																					0
Left Hand Throw	4		left hand throw	65	5																																																																																						2	2																		0		rng	1	thro										S4	S4	xx			1	1																						1														1		3				0	8	0	0	1								1																										1								8																																					0
Left Hand Swing	5		left hand swing	1	1																																																																																						4	1																		0		both	1	weap			tpot							S3	S3	S3			1	1		1	1																			1														1		4				0	8	0	0	1								1																										1								8																																					0
Magic Arrow	6	ama	magic arrow	4	8												magicarrow	magicarrow																																																																									11	17					magicarrow	magicarrow											1	0	1	rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1						1	5	8	1	1										min(par1+blvl/par2+skill('Multiple Shot'.blvl)/par3,par4)	# missiles	1	activation frame (missiles appear after this)	2	triggered			2	number of arrows to fire	3	levels per additional arrow	4	multipleshotsyn	9	max arrows							28	damage synergy	1								8	84														mag	4	3	5	8	10	15	8	3	5	9	13	18	((100+stat('passive_mag_mastery'.accr)) * (100+((skill('Valkyrie'.blvl)*par8)+ (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)))/100)-100								5	0
Fire Arrow	7	ama	fire arrow	4	8												firearrow	firearrow																																																																									11	17					firearrow	firearrow											1	0	1	rng		miss										A1	A1	xx				1											1		1								((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	20													1		1				1	5	8	1	1										min(par1+blvl/par2+skill('Multiple Shot'.blvl)/par3,par4)	# missiles	1	activation frame (missiles appear after this)	2	triggered			2	number of arrows to fire	3	levels per additional arrow	4	multipleshotsyn	9	max arrows							14	damage synergy	1								8	84														fire	4	3	5	8	10	15	8	3	5	9	13	18	((skill('Exploding Arrow'.blvl)+skill('Immolation Arrow'.blvl))*par8) + (stat('energy'.accr)/4) + (blvl*5*skill('Kick'.clc1)/100)								5	0
Inner Sight	8	ama	inner sight		30																34179		innersight	ln34 * (100 + stat('item_skill_duration_increased'.accr)) / 100	ln56	skill_armor_percent	ln12	damageresist	clc4	magicresist	clc1																																														amazon_eyeofzeus											cast_innersight			18	30					curseinnersight												1	3		none												SC	SC	xx					4												1						amazon_eyeofzeus	cast_innersight	((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	1	5								1					1						1	7	10	1	1										-3-((blvl>0)?((blvl-1)/2):0)	mag res					-3-((blvl>0)?((blvl-1)/2):0)	-phys res	-10	% monster ac reduction	-1	%ac/lvl	250	duration	25	duration per level	12	radius of effect	1	radius per level			5	levels per -1%PhysRes	1								8																																				51	0
Critical Strike	9	ama	critical strike																																											criticalstrike		passive_critical_strike	15+blvl*2	item_tohit_percent	toht	damagepercent	clc1																																																								1	4		rng		spea	miss											xx				1																					((ulvl-1)<(blvl*3)) ? (stat('newskills'.accr)+1) : 1	10	20																			0	3	0	0	1						1				(25+(blvl*25))+(lvl*10)								5	base chance to do double damage	80	% to do double damage max					50		20						1	50	15						8																																				102	0
